COMMON_NAME,audio,image,link
Black-rumped waxbill,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/bf6e0643_black-rumped_waxbill_j.jpg?itok=f2YpN_52,https://www.hbw.com/species/black-rumped-waxbill-estrilda-troglodytes#Taxonomy
Black-tailed godwit,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/img_2104.jpg?itok=q8guahrK,https://www.hbw.com/species/black-tailed-godwit-limosa-limosa#Taxonomy
Black-tailed gull,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/b00423-a48c2890s800.jpg?itok=F3TFldcE,https://www.hbw.com/species/black-tailed-gull-larus-crassirostris#Taxonomy
Black-vented oriole,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/dsc08056.jpg?itok=EpLGpR1F,https://www.hbw.com/species/black-vented-oriole-icterus-wagleri#Taxonomy
Black-vented shearwater,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Loreto_N.P._-_Craverialk_Craveriss_Murrelet.JPG?itok=YdRtQ3vX,https://www.hbw.com/species/black-vented-shearwater-puffinus-opisthomelas#Taxonomy
Black-winged petrel,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Black-winged_Petrel.jpg?itok=9YhD8YyR,https://www.hbw.com/species/black-winged-petrel-pterodroma-nigripennis#Taxonomy
Black-winged stilt,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/image_205.jpg?itok=0Sr12hAq,https://www.hbw.com/species/black-winged-stilt-himantopus-himantopus#Taxonomy
Blue bunting,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/eisermann_cyanocompsa_parellina.jpg?itok=jXNwaPwO,https://www.hbw.com/species/blue-bunting-cyanocompsa-parellina#Taxonomy
Blue mockingbird,no image,no link
Blyths reed warbler,no image,no link
Bonin petrel,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/_M4A0384.jpg?itok=GXPm76IQ,https://www.hbw.com/species/bonin-petrel-pterodroma-hypoleuca#Taxonomy
Brambling,no image,no link
