SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Struthio camelus,Common Ostrich,ostric2,species,3.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,
Struthio molybdophanes,Somali Ostrich,ostric3,species,5.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,6.0,SOOS COOS,STCA STMO,,Struthioniformes,Ostriches,Struthionidae,,,
Rhea americana,Greater Rhea,grerhe1,species,7.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,
Rhea pennata,Lesser Rhea,lesrhe2,species,13.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,14.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,17.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,32.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,
Nothocercus bonapartei,Highland Tinamou,higtin1,species,33.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,34.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,39.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,40.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus tao,Gray Tinamou,grytin1,species,43.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus solitarius,Solitary Tinamou,soltin1,species,48.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus osgoodi,Black Tinamou,blatin1,species,49.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus major,Great Tinamou,gretin1,species,52.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus guttatus,White-throated Tinamou,whttin1,species,65.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus sp.,Tinamus sp.,tinamu1,spuh,66.0,,,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,67.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,68.0,BETI,CRBE,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus soui,Little Tinamou,littin1,species,69.0,,CRSO,LITI,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,84.0,TETI,CRPT,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus obsoletus,Brown Tinamou,brotin1,species,85.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,issf,86.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,issf,86.5,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,
Crypturellus undulatus,Undulated Tinamou,undtin1,species,95.0,UNTI,CRUN,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,102.0,PBTI,CRTR,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,103.0,BRTI,CRST,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,104.0,GLTI,CRDU,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,105.0,RLTI,CRER,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,113.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,issf,113.2,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,issf,113.4,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,116.0,BCTI,CRAT,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,119.0,,CRBO,SBTI,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus kerriae,Choco Tinamou,chotin1,species,122.0,,CRKE,CHTI,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus variegatus,Variegated Tinamou,vartin1,species,123.0,VATI,CRVA,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,124.0,,CRCI,THTI,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,issf,124.2,THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,issf,124.4,THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,134.0,RUTI,CRBR,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,135.0,BATI,CRBA,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,136.0,SBTI,CRPA,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus casiquiare,Barred Tinamou,bartin1,species,137.0,BATI,CRCA,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,138.0,TATI,CRTA,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus sp.,Crypturellus sp.,cryptu1,spuh,143.0,,,,Tinamiformes,Tinamous,Tinamidae,,,
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,144.0,RWTI,RHRU,,Tinamiformes,Tinamous,Tinamidae,,,
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,148.0,HUTI,RHMA,,Tinamiformes,Tinamous,Tinamidae,,,
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,149.0,TATI,NOTA,,Tinamiformes,Tinamous,Tinamidae,,,
Nothoprocta ornata,Ornate Tinamou,orntin1,species,150.0,ORTI,NOOR,,Tinamiformes,Tinamous,Tinamidae,,,
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,154.0,CHTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,157.0,BRTI,NOCI,,Tinamiformes,Tinamous,Tinamidae,,,
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,160.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,168.0,CBTI,NOCU,,Tinamiformes,Tinamous,Tinamidae,,,
Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,171.0,,,,Tinamiformes,Tinamous,Tinamidae,,,
Nothura boraquira,White-bellied Nothura,whbnot1,species,172.0,WBNO,NOBO,,Tinamiformes,Tinamous,Tinamidae,,,
Nothura minor,Lesser Nothura,lesnot1,species,173.0,LENO,NOMI,,Tinamiformes,Tinamous,Tinamidae,,,
Nothura darwinii,Darwin's Nothura,darnot1,species,174.0,DANO,NODA,,Tinamiformes,Tinamous,Tinamidae,,,
Nothura maculosa,Spotted Nothura,sponot1,species,180.0,SPNO,NOMA,,Tinamiformes,Tinamous,Tinamidae,,,
Nothura chacoensis,Chaco Nothura,chanot1,species,189.0,CHNO,NOCH,,Tinamiformes,Tinamous,Tinamidae,,,
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,190.0,DWTI,TANA,,Tinamiformes,Tinamous,Tinamidae,,,
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,191.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,,,
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,202.0,QCTI QUCT,EUFO,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamotis pentlandii,Puna Tinamou,puntin1,species,205.0,PUTI,TIPE,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,206.0,PATI,TIIN,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamidae sp.,tinamou sp.,tinamo1,spuh,207.0,,,,Tinamiformes,Tinamous,Tinamidae,,,
Casuarius casuarius,Southern Cassowary,soucas1,species,207.05,SOCA,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,207.1,DWCA,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,207.15,NOCA,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,
Dromaius novaehollandiae,Emu,emu1,species,207.2,EMU,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,207.45,TOKO SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,,,
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,issf,207.5,TOKO SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,issf,207.55,TOKO SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,207.6,OBKI OKKI,APRO,,Apterygiformes,Kiwis,Apterygidae,,,
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,207.65,NIBK,APMA,,Apterygiformes,Kiwis,Apterygidae,,,
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,207.7,LSKI,APOW,,Apterygiformes,Kiwis,Apterygidae,,,
Apteryx haastii,Great Spotted Kiwi,grskiw1,species,207.75,GSKI,APHA,,Apterygiformes,Kiwis,Apterygidae,,,
Anhima cornuta,Horned Screamer,horscr1,species,208.0,HOSC,ANCO,,Anseriformes,Screamers,Anhimidae,,,
Chauna torquata,Southern Screamer,souscr1,species,209.0,SOSC,CHTO,,Anseriformes,Screamers,Anhimidae,,,
Chauna chavaria,Northern Screamer,norscr1,species,210.0,NOSC,CHCH,,Anseriformes,Screamers,Anhimidae,,,
Anseranas semipalmata,Magpie Goose,maggoo1,species,211.0,MAGO,ANSE,,Anseriformes,Magpie Goose,Anseranatidae,,,
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,species,212.0,SPWD SWDU,DEGU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,species,213.0,PLWD PWDU,DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,species,214.0,WFDU,DEVI,WFWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,hybrid,214.5,WFDU SWDU WFWD SPWD,DEGU DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,species,215.0,,DEAU,BBWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (fulgens),bkbwhd1,issf,215.3,BBWD,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,
Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (autumnalis),bkbwhd2,issf,215.6,BBWD,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,species,216.0,,DEAR,WIWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775,hybrid,216.5,BBWD WIWD,DEAR DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,species,217.0,FUDU FWDU,DEBI,FUWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875,hybrid,217.2,FUDU BBWD FWDU FUWD,DEAU DEBI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,species,218.0,WWDU WAWD,DEAR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,species,222.0,LEWD LWDU,DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Dendrocygna sp.,whistling-duck sp.,whistl1,spuh,223.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Thalassornis leuconotus,White-backed Duck,whbduc1,species,224.0,WBDU,THLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser indicus,Bar-headed Goose,bahgoo,species,240.0,BHGO,ANIN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser canagicus,Emperor Goose,empgoo,species,253.0,,ANCA,EMGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser caerulescens,Snow Goose,snogoo,species,254.0,,ANCA,SNGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser rossii,Ross's Goose,rosgoo,species,259.0,,ANRO,ROGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,hybrid,259.5,SNGO ROGO,ANRO ANCA,SRGH,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser caerulescens/rossii,Snow/Ross's Goose,y00469,slash,260.0,SNGO ROGO,ANRO CHCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser anser,Graylag Goose,gragoo,species,260.05,,ANAN,GRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser anser anser,Graylag Goose (European),gragoo2,issf,260.1,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,
Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3,issf,260.15,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,
Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1,domestic,260.2,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser cygnoides,Swan Goose,swagoo1,species,260.25,SWGO,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2,domestic,260.3,SWGO,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser anser x cygnoides (Domestic type),Graylag x Swan Goose (Domestic type) (hybrid),x00776,hybrid,260.35,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser albifrons,Greater White-fronted Goose,gwfgoo,species,260.4,,ANAL,GWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4,issf,260.45,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,
Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1,issf,260.5,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,
Anser albifrons gambelli/frontalis,Greater White-fronted Goose (Western),gwfgoo2,issf,260.55,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,
Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3,issf,260.6,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,
Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755,hybrid,260.65,GWFG BHGO,ANIN ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627,hybrid,260.7,GWFG SNGO,ANCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser erythropus,Lesser White-fronted Goose,lwfgoo,species,260.75,,ANER,LWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,y00707,slash,260.8,GWFG LWFG,ANER ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser fabalis,Taiga Bean-Goose,taibeg1,species,260.85,TBGO,ANFA,TABG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser serrirostris,Tundra Bean-Goose,tunbeg1,species,260.9,TBGO,ANSE,TUBG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,y00468,slash,260.92,TABG TUBG TBGO,ANSE ANFA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser brachyrhynchus,Pink-footed Goose,pifgoo,species,260.94,,ANBR,PFGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser sp. (Domestic type),Domestic goose sp. (Domestic type),domgoo1,domestic,260.96,DGSP,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser sp.,Anser sp.,anser1,spuh,260.98,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta bernicla,Brant,brant,species,261.0,BRGO,BRBE,BRAN,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta bernicla bernicla,Brant (Dark-bellied),dabbra1,issf,262.0,BRAN BRGO,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,
Branta bernicla hrota,Brant (Atlantic),atlbra1,issf,264.0,BRAN BRGO,BRBE,ATBR,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,
Branta bernicla nigricans/orientalis,Brant (Black),blkbra1,issf,266.0,BRAN BRGO,BRBE,BLBR,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,
Branta bernicla (Gray-bellied),Brant (Gray-bellied),gybbra1,form,266.7,BRAN BRGO,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,
Branta bernicla hrota x nigricans,Brant (Atlantic x Black),brant1,intergrade,266.8,BRAN BRGO,BRBE,BRIN,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,
Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),x00685,hybrid,267.0,SNGO BRAN BRGO,BRBE CHCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta leucopsis,Barnacle Goose,bargoo,species,268.0,BAGO,BRLE,BARG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser brachyrhynchus x Branta leucopsis,Pink-footed x Barnacle Goose (hybrid),x00756,hybrid,268.2,BAGO BARG PFGO,BRLE ANBR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser albifrons x Branta leucopsis,Greater White-fronted x Barnacle Goose (hybrid),x00757,hybrid,268.4,GWFG BAGO BARG,ANAL BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser anser x Branta leucopsis,Graylag x Barnacle Goose (hybrid),x00649,hybrid,268.5,BAGO GRGO BARG,ANAN BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta hutchinsii,Cackling Goose,cacgoo1,species,271.0,CAGO,BRHU,CACG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta hutchinsii leucopareia,Cackling Goose (Aleutian),alcgoo1,issf,272.0,CACG CAGO,BRHU,ACGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1,,
Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),ricgoo1,issf,273.0,CACG CAGO,BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1,,
Branta hutchinsii minima,Cackling Goose (minima),cacgoo2,issf,274.0,CACG CAGO,BRHU,MCGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1,,
Branta hutchinsii taverneri,Cackling Goose (Taverner's),tacgoo1,issf,276.0,CACG CAGO,BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1,,
Anser canagicus x Branta hutchinsii,Emperor x Cackling Goose (hybrid),x00831,hybrid,276.05,EMGO CAGO CACG,CHCA BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser caerulescens x Branta hutchinsii,Snow x Cackling Goose (hybrid),x00692,hybrid,276.1,SNGO CACG CAGO,CHCA BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser rossii x Branta hutchinsii,Ross's x Cackling Goose (hybrid),x00694,hybrid,276.2,CACG CAGO ROGO,CHRO BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta bernicla x hutchinsii,Brant x Cackling Goose (hybrid),x00722,hybrid,276.25,CAGO BRAN CACG BRGO,BRBE BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser albifrons x Branta hutchinsii,Greater White-fronted x Cackling Goose (hybrid),x00414,hybrid,276.3,GWFG CAGO CACG,ANAL BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),x00416,hybrid,276.6,CAGO BAGO BARG CACG,BRHU BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta canadensis,Canada Goose,cangoo,species,277.0,CAGO,BRCA,CANG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima),cangoo4,issf,278.0,CANG CAGO,BRCA,LCGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cangoo,,
Branta canadensis occidentalis/fulva,Canada Goose (occidentalis/fulva),cangoo3,issf,281.0,CANG CAGO,BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cangoo,,
Branta canadensis [canadensis Group],Canada Goose (canadensis Group),cangoo1,issf,284.0,CANG CAGO,BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cangoo,,
Anser cygnoides (Domestic type) x Branta canadensis,Swan Goose (Domestic type) x Canada Goose (hybrid),swagoo3,hybrid,287.1,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser brachyrhynchus x Branta canadensis,Pink-footed x Canada Goose (hybrid),x00650,hybrid,287.2,CANG CAGO PFGO,BRCA ANBR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),x00415,hybrid,287.4,GWFG CANG CAGO,BRCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser anser x Branta canadensis,Graylag x Canada Goose (hybrid),x00758,hybrid,287.5,CANG CAGO GRGO,ANAN BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser anser (Domestic type) x Branta canadensis,Graylag Goose (Domestic type) x Canada Goose (hybrid),gragoo4,hybrid,287.6,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),x00759,hybrid,287.65,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser caerulescens x Branta canadensis,Snow x Canada Goose (hybrid),x00197,hybrid,287.7,CANG CAGO SNGO,CHCA BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser rossii x Branta canadensis,Ross's x Canada Goose (hybrid),x00693,hybrid,287.8,CANG CAGO ROGO,CHRO BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta leucopsis x canadensis,Barnacle x Canada Goose (hybrid),x00417,hybrid,287.9,CANG CAGO BAGO BARG,BRCA BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta hutchinsii/canadensis,Cackling/Canada Goose,y00470,slash,288.0,CANG CAGO CACG,BRCA BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser caerulescens/rossii x Branta hutchinsii/canadensis,Snow/Ross's x Cackling/Canada Goose (hybrid),y00765,hybrid,288.5,CANG CAGO ROGO SNGO CACG,BRCA BRHU CHCA CHRO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta sandvicensis,Hawaiian Goose,hawgoo,species,289.0,NENE,BRSA,HAGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta ruficollis,Red-breasted Goose,rebgoo1,species,290.0,RBGO,BRRU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Branta sp.,Branta sp.,branta1,spuh,291.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Anser/Branta sp.,goose sp.,goose1,spuh,292.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1,species,293.0,CBGO,CENO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Stictonetta naevosa,Freckled Duck,freduc1,species,294.0,FRDU,STNA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,species,295.0,BWGO,CYCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Cygnus olor,Mute Swan,mutswa,species,296.0,,CYOL,MUSW,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Cygnus atratus,Black Swan,blkswa,species,297.0,BLSW,CYAT,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Cygnus melancoryphus,Black-necked Swan,blnswa2,species,298.0,BNSW,CYME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
