SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Myophonus melanurus,Shiny Whistling-Thrush,shwthr1,species,23403.0608,SHWT SWTH,MYME,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myophonus glaucinus,Javan Whistling-Thrush,javwht1,species,23403.0609,JAWT JWTH,MYGL,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myophonus castaneus,Sumatran Whistling-Thrush,chwwht1,species,23403.061,SUWT BWWT SWTH,MYCA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myophonus borneensis,Bornean Whistling-Thrush,borwht1,species,23403.0611,BOWT BWTH,MYBO,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myophonus robinsoni,Malayan Whistling-Thrush,mawthr2,species,23403.0612,MWTH MAWT,MYRO,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myophonus horsfieldii,Malabar Whistling-Thrush,mawthr1,species,23403.0613,MAWT MWTH,MYHO,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myophonus insularis,Taiwan Whistling-Thrush,fowthr1,species,23403.0614,TWTH TAWT,MYIN,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myophonus caeruleus,Blue Whistling-Thrush,blwthr1,species,23403.0615,BLWT BWTH,MYCA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myophonus caeruleus caeruleus,Blue Whistling-Thrush (Black-billed),bluwht1,issf,23403.0616,BLWT BWTH,MYCA,,Passeriformes,Old World Flycatchers,Muscicapidae,blwthr1,,
Myophonus caeruleus [flavirostris Group],Blue Whistling-Thrush (Yellow-billed),bluwht2,issf,23403.0617,BLWT BWTH,MYCA,,Passeriformes,Old World Flycatchers,Muscicapidae,blwthr1,,
Myophonus sp.,whistling-thrush sp.,whistl2,spuh,23403.062,,,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Enicurus scouleri,Little Forktail,litfor1,species,23403.0622,LIFO,ENSC,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Enicurus leschenaulti,White-crowned Forktail,whcfor1,species,23403.0625,WCFO,ENLE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
