SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Struthio camelus,Common Ostrich,ostric2,Struthioniformes
Struthio molybdophanes,Somali Ostrich,ostric3,Struthioniformes
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,Struthioniformes
Rhea americana,Greater Rhea,grerhe1,Rheiformes
Rhea pennata,Lesser Rhea,lesrhe2,Rheiformes
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,Rheiformes
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,Rheiformes
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,Tinamiformes
Nothocercus bonapartei,Highland Tinamou,higtin1,Tinamiformes
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,Tinamiformes
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,Tinamiformes
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,Tinamiformes
Tinamus tao,Gray Tinamou,grytin1,Tinamiformes
Tinamus solitarius,Solitary Tinamou,soltin1,Tinamiformes
Tinamus osgoodi,Black Tinamou,blatin1,Tinamiformes
Tinamus major,Great Tinamou,gretin1,Tinamiformes
Tinamus guttatus,White-throated Tinamou,whttin1,Tinamiformes
Tinamus sp.,Tinamus sp.,tinamu1,Tinamiformes
Crypturellus cinereus,Cinereous Tinamou,cintin1,Tinamiformes
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,Tinamiformes
Crypturellus soui,Little Tinamou,littin1,Tinamiformes
Crypturellus ptaritepui,Tepui Tinamou,teptin1,Tinamiformes
Crypturellus obsoletus,Brown Tinamou,brotin1,Tinamiformes
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,Tinamiformes
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,Tinamiformes
Crypturellus undulatus,Undulated Tinamou,undtin1,Tinamiformes
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,Tinamiformes
Crypturellus strigulosus,Brazilian Tinamou,bratin1,Tinamiformes
Crypturellus duidae,Gray-legged Tinamou,gyltin1,Tinamiformes
Crypturellus erythropus,Red-legged Tinamou,reltin1,Tinamiformes
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,Tinamiformes
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,Tinamiformes
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,Tinamiformes
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,Tinamiformes
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,Tinamiformes
Crypturellus kerriae,Choco Tinamou,chotin1,Tinamiformes
Crypturellus variegatus,Variegated Tinamou,vartin1,Tinamiformes
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,Tinamiformes
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,Tinamiformes
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,Tinamiformes
Crypturellus brevirostris,Rusty Tinamou,rustin1,Tinamiformes
Crypturellus bartletti,Bartlett's Tinamou,bartin2,Tinamiformes
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,Tinamiformes
Crypturellus casiquiare,Barred Tinamou,bartin1,Tinamiformes
Crypturellus tataupa,Tataupa Tinamou,tattin1,Tinamiformes
Crypturellus sp.,Crypturellus sp.,cryptu1,Tinamiformes
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,Tinamiformes
Rhynchotus maculicollis,Huayco Tinamou,huatin1,Tinamiformes
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,Tinamiformes
Nothoprocta ornata,Ornate Tinamou,orntin1,Tinamiformes
Nothoprocta perdicaria,Chilean Tinamou,chitin1,Tinamiformes
Nothoprocta cinerascens,Brushland Tinamou,brutin1,Tinamiformes
Nothoprocta pentlandii,Andean Tinamou,andtin1,Tinamiformes
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,Tinamiformes
Nothoprocta sp.,Nothoprocta sp.,nothop1,Tinamiformes
Nothura boraquira,White-bellied Nothura,whbnot1,Tinamiformes
Nothura minor,Lesser Nothura,lesnot1,Tinamiformes
Nothura darwinii,Darwin's Nothura,darnot1,Tinamiformes
Nothura maculosa,Spotted Nothura,sponot1,Tinamiformes
Nothura chacoensis,Chaco Nothura,chanot1,Tinamiformes
Taoniscus nanus,Dwarf Tinamou,dwatin1,Tinamiformes
Eudromia elegans,Elegant Crested-Tinamou,elctin1,Tinamiformes
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,Tinamiformes
Tinamotis pentlandii,Puna Tinamou,puntin1,Tinamiformes
Tinamotis ingoufi,Patagonian Tinamou,pattin1,Tinamiformes
Tinamidae sp.,tinamou sp.,tinamo1,Tinamiformes
Casuarius casuarius,Southern Cassowary,soucas1,Casuariiformes
Casuarius bennetti,Dwarf Cassowary,dwacas1,Casuariiformes
Casuarius unappendiculatus,Northern Cassowary,norcas1,Casuariiformes
Dromaius novaehollandiae,Emu,emu1,Casuariiformes
Apteryx australis,Southern Brown Kiwi,sobkiw1,Apterygiformes
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,Apterygiformes
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,Apterygiformes
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,Apterygiformes
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,Apterygiformes
Apteryx owenii,Little Spotted Kiwi,liskiw1,Apterygiformes
Apteryx haastii,Great Spotted Kiwi,grskiw1,Apterygiformes
Anhima cornuta,Horned Screamer,horscr1,Anseriformes
Chauna torquata,Southern Screamer,souscr1,Anseriformes
Chauna chavaria,Northern Screamer,norscr1,Anseriformes
Anseranas semipalmata,Magpie Goose,maggoo1,Anseriformes
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,Anseriformes
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,Anseriformes
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,Anseriformes
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,Anseriformes
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,Anseriformes
Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (fulgens),bkbwhd1,Anseriformes
Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (autumnalis),bkbwhd2,Anseriformes
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,Anseriformes
Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775,Anseriformes
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,Anseriformes
Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875,Anseriformes
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,Anseriformes
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,Anseriformes
Dendrocygna sp.,whistling-duck sp.,whistl1,Anseriformes
Thalassornis leuconotus,White-backed Duck,whbduc1,Anseriformes
Anser indicus,Bar-headed Goose,bahgoo,Anseriformes
Anser canagicus,Emperor Goose,empgoo,Anseriformes
Anser caerulescens,Snow Goose,snogoo,Anseriformes
Anser rossii,Ross's Goose,rosgoo,Anseriformes
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,Anseriformes
Anser caerulescens/rossii,Snow/Ross's Goose,y00469,Anseriformes
Anser anser,Graylag Goose,gragoo,Anseriformes
Anser anser anser,Graylag Goose (European),gragoo2,Anseriformes
Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3,Anseriformes
Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1,Anseriformes
Anser cygnoides,Swan Goose,swagoo1,Anseriformes
Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2,Anseriformes
Anser anser x cygnoides (Domestic type),Graylag x Swan Goose (Domestic type) (hybrid),x00776,Anseriformes
Anser albifrons,Greater White-fronted Goose,gwfgoo,Anseriformes
Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4,Anseriformes
Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1,Anseriformes
Anser albifrons gambelli/frontalis,Greater White-fronted Goose (Western),gwfgoo2,Anseriformes
Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3,Anseriformes
Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755,Anseriformes
Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627,Anseriformes
Anser erythropus,Lesser White-fronted Goose,lwfgoo,Anseriformes
Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,y00707,Anseriformes
Anser fabalis,Taiga Bean-Goose,taibeg1,Anseriformes
Anser serrirostris,Tundra Bean-Goose,tunbeg1,Anseriformes
Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,y00468,Anseriformes
Anser brachyrhynchus,Pink-footed Goose,pifgoo,Anseriformes
Anser sp. (Domestic type),Domestic goose sp. (Domestic type),domgoo1,Anseriformes
Anser sp.,Anser sp.,anser1,Anseriformes
Branta bernicla,Brant,brant,Anseriformes
Branta bernicla bernicla,Brant (Dark-bellied),dabbra1,Anseriformes
Branta bernicla hrota,Brant (Atlantic),atlbra1,Anseriformes
Branta bernicla nigricans/orientalis,Brant (Black),blkbra1,Anseriformes
Branta bernicla (Gray-bellied),Brant (Gray-bellied),gybbra1,Anseriformes
Branta bernicla hrota x nigricans,Brant (Atlantic x Black),brant1,Anseriformes
Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),x00685,Anseriformes
Branta leucopsis,Barnacle Goose,bargoo,Anseriformes
Anser brachyrhynchus x Branta leucopsis,Pink-footed x Barnacle Goose (hybrid),x00756,Anseriformes
Anser albifrons x Branta leucopsis,Greater White-fronted x Barnacle Goose (hybrid),x00757,Anseriformes
Anser anser x Branta leucopsis,Graylag x Barnacle Goose (hybrid),x00649,Anseriformes
Branta hutchinsii,Cackling Goose,cacgoo1,Anseriformes
Branta hutchinsii leucopareia,Cackling Goose (Aleutian),alcgoo1,Anseriformes
Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),ricgoo1,Anseriformes
Branta hutchinsii minima,Cackling Goose (minima),cacgoo2,Anseriformes
Branta hutchinsii taverneri,Cackling Goose (Taverner's),tacgoo1,Anseriformes
Anser canagicus x Branta hutchinsii,Emperor x Cackling Goose (hybrid),x00831,Anseriformes
Anser caerulescens x Branta hutchinsii,Snow x Cackling Goose (hybrid),x00692,Anseriformes
Anser rossii x Branta hutchinsii,Ross's x Cackling Goose (hybrid),x00694,Anseriformes
Branta bernicla x hutchinsii,Brant x Cackling Goose (hybrid),x00722,Anseriformes
Anser albifrons x Branta hutchinsii,Greater White-fronted x Cackling Goose (hybrid),x00414,Anseriformes
Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),x00416,Anseriformes
Branta canadensis,Canada Goose,cangoo,Anseriformes
Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima),cangoo4,Anseriformes
Branta canadensis occidentalis/fulva,Canada Goose (occidentalis/fulva),cangoo3,Anseriformes
Branta canadensis [canadensis Group],Canada Goose (canadensis Group),cangoo1,Anseriformes
Anser cygnoides (Domestic type) x Branta canadensis,Swan Goose (Domestic type) x Canada Goose (hybrid),swagoo3,Anseriformes
Anser brachyrhynchus x Branta canadensis,Pink-footed x Canada Goose (hybrid),x00650,Anseriformes
Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),x00415,Anseriformes
Anser anser x Branta canadensis,Graylag x Canada Goose (hybrid),x00758,Anseriformes
Anser anser (Domestic type) x Branta canadensis,Graylag Goose (Domestic type) x Canada Goose (hybrid),gragoo4,Anseriformes
Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),x00759,Anseriformes
Anser caerulescens x Branta canadensis,Snow x Canada Goose (hybrid),x00197,Anseriformes
Anser rossii x Branta canadensis,Ross's x Canada Goose (hybrid),x00693,Anseriformes
Branta leucopsis x canadensis,Barnacle x Canada Goose (hybrid),x00417,Anseriformes
Branta hutchinsii/canadensis,Cackling/Canada Goose,y00470,Anseriformes
Anser caerulescens/rossii x Branta hutchinsii/canadensis,Snow/Ross's x Cackling/Canada Goose (hybrid),y00765,Anseriformes
Branta sandvicensis,Hawaiian Goose,hawgoo,Anseriformes
Branta ruficollis,Red-breasted Goose,rebgoo1,Anseriformes
Branta sp.,Branta sp.,branta1,Anseriformes
Anser/Branta sp.,goose sp.,goose1,Anseriformes
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1,Anseriformes
Stictonetta naevosa,Freckled Duck,freduc1,Anseriformes
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,Anseriformes
Cygnus olor,Mute Swan,mutswa,Anseriformes
Cygnus atratus,Black Swan,blkswa,Anseriformes
Cygnus melancoryphus,Black-necked Swan,blnswa2,Anseriformes
Cygnus buccinator,Trumpeter Swan,truswa,Anseriformes
Cygnus olor x buccinator,Mute x Trumpeter Swan (hybrid),x00832,Anseriformes
Cygnus columbianus,Tundra Swan,tunswa,Anseriformes
Cygnus columbianus columbianus,Tundra Swan (Whistling),tunswa1,Anseriformes
Cygnus columbianus bewickii,Tundra Swan (Bewick's),bewswa1,Anseriformes
Cygnus columbianus columbianus x bewickii,Tundra Swan (Whistling x Bewick's),tunswa2,Anseriformes
Cygnus buccinator x columbianus,Trumpeter x Tundra Swan (hybrid),x00418,Anseriformes
Cygnus buccinator/columbianus,Trumpeter/Tundra Swan,y00471,Anseriformes
Cygnus cygnus,Whooper Swan,whoswa,Anseriformes
Cygnus buccinator x cygnus,Trumpeter x Whooper Swan (hybrid),x00419,Anseriformes
Cygnus columbianus/cygnus,Tundra/Whooper Swan,y00708,Anseriformes
Cygnus sp.,swan sp.,swan1,Anseriformes
Coscoroba coscoroba,Coscoroba Swan,cosswa1,Anseriformes
Sarkidiornis melanotos,Comb Duck,comduc1,Anseriformes
Sarkidiornis melanotos melanotos,Comb Duck (Old World),comduc2,Anseriformes
Sarkidiornis melanotos sylvicola,Comb Duck (South American),comduc3,Anseriformes
Pteronetta hartlaubii,Hartlaub's Duck,harduc1,Anseriformes
Oressochen jubatus,Orinoco Goose,origoo1,Anseriformes
Oressochen melanopterus,Andean Goose,andgoo1,Anseriformes
Chloephaga picta,Upland Goose,uplgoo1,Anseriformes
Chloephaga picta (White-breasted),Upland Goose (White-breasted),uplgoo2,Anseriformes
Chloephaga picta (Bar-breasted),Upland Goose (Bar-breasted),uplgoo3,Anseriformes
Chloephaga hybrida,Kelp Goose,kelgoo1,Anseriformes
Chloephaga poliocephala,Ashy-headed Goose,ashgoo1,Anseriformes
Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1,Anseriformes
Chloephaga sp.,Chloephaga sp.,chloep1,Anseriformes
Alopochen aegyptiaca,Egyptian Goose,egygoo,Anseriformes
Tadorna ferruginea,Ruddy Shelduck,rudshe,Anseriformes
Tadorna cana,South African Shelduck,soashe1,Anseriformes
Tadorna tadornoides,Australian Shelduck,ausshe1,Anseriformes
Tadorna variegata,Paradise Shelduck,parshe1,Anseriformes
Tadorna tadorna,Common Shelduck,comshe,Anseriformes
Tadorna ferruginea x tadorna,Ruddy x Common Shelduck (hybrid),x00876,Anseriformes
Tadorna radjah,Radjah Shelduck,radshe1,Anseriformes
Tadorna cristata,Crested Shelduck,creshe1,Anseriformes
Plectropterus gambensis,Spur-winged Goose,spwgoo1,Anseriformes
Plectropterus gambensis gambensis,Spur-winged Goose (Northern),spwgoo2,Anseriformes
Plectropterus gambensis niger,Spur-winged Goose (Southern),spwgoo3,Anseriformes
Tachyeres patachonicus,Flying Steamer-Duck,flystd1,Anseriformes
Tachyeres pteneres,Flightless Steamer-Duck,flistd1,Anseriformes
Tachyeres brachypterus,Falkland Steamer-Duck,falstd1,Anseriformes
Tachyeres leucocephalus,White-headed Steamer-Duck,whhstd1,Anseriformes
Tachyeres sp.,steamer-duck sp.,steame1,Anseriformes
Lophonetta specularioides,Crested Duck,creduc1,Anseriformes
Speculanas specularis,Spectacled Duck,speduc2,Anseriformes
Cairina moschata,Muscovy Duck,musduc,Anseriformes
Cairina moschata (Established Feral),Muscovy Duck (Established Feral),musduc3,Anseriformes
Cairina moschata (Domestic type),Muscovy Duck (Domestic type),musduc2,Anseriformes
Nettapus pulchellus,Green Pygmy-Goose,grnpyg1,Anseriformes
Nettapus coromandelianus,Cotton Pygmy-Goose,copgoo1,Anseriformes
Nettapus auritus,African Pygmy-Goose,afrpyg1,Anseriformes
Callonetta leucophrys,Ringed Teal,rintea1,Anseriformes
Aix sponsa,Wood Duck,wooduc,Anseriformes
Aix galericulata,Mandarin Duck,manduc,Anseriformes
Aix sponsa x galericulata,Wood x Mandarin Duck (hybrid),x00833,Anseriformes
Chenonetta jubata,Maned Duck,manduc1,Anseriformes
Amazonetta brasiliensis,Brazilian Teal,bratea1,Anseriformes
Hymenolaimus malacorhynchos,Blue Duck,bluduc1,Anseriformes
Merganetta armata,Torrent Duck,torduc1,Anseriformes
Salvadorina waigiuensis,Salvadori's Teal,saltea1,Anseriformes
Sibirionetta formosa,Baikal Teal,baitea,Anseriformes
Spatula querquedula,Garganey,gargan,Anseriformes
Spatula hottentota,Hottentot Teal,hottea1,Anseriformes
Spatula versicolor,Silver Teal,siltea1,Anseriformes
Spatula puna,Puna Teal,puntea1,Anseriformes
Spatula discors,Blue-winged Teal,buwtea,Anseriformes
Spatula cyanoptera,Cinnamon Teal,cintea,Anseriformes
Spatula discors x cyanoptera,Blue-winged x Cinnamon Teal (hybrid),bwxtea1,Anseriformes
Spatula discors/cyanoptera,Blue-winged/Cinnamon Teal,y00314,Anseriformes
Spatula platalea,Red Shoveler,redsho1,Anseriformes
Spatula smithii,Cape Shoveler,capsho1,Anseriformes
Spatula rhynchotis,Australian Shoveler,aussho1,Anseriformes
Spatula clypeata,Northern Shoveler,norsho,Anseriformes
Spatula querquedula x clypeata,Garganey x Northern Shoveler (hybrid),x00836,Anseriformes
Spatula discors x clypeata,Blue-winged Teal x Northern Shoveler (hybrid),x00629,Anseriformes
Spatula cyanoptera x clypeata,Cinnamon Teal x Northern Shoveler (hybrid),x00630,Anseriformes
Mareca strepera,Gadwall,gadwal,Anseriformes
Mareca strepera strepera,Gadwall (Common),gadwal1,Anseriformes
Mareca strepera couesi,Gadwall (Coues's),gadwal2,Anseriformes
Spatula clypeata x Mareca strepera,Northern Shoveler x Gadwall (hybrid),x00457,Anseriformes
Mareca falcata,Falcated Duck,falduc,Anseriformes
Mareca penelope,Eurasian Wigeon,eurwig,Anseriformes
Mareca strepera x penelope,Gadwall x Eurasian Wigeon (hybrid),x00723,Anseriformes
Mareca americana,American Wigeon,amewig,Anseriformes
Aix sponsa x Mareca americana,Wood Duck x American Wigeon (hybrid),x00877,Anseriformes
Spatula clypeata x Mareca americana,Northern Shoveler x American Wigeon (hybrid),x00777,Anseriformes
Mareca strepera x americana,Gadwall x American Wigeon (hybrid),x00724,Anseriformes
Mareca penelope x americana,Eurasian x American Wigeon (hybrid),x00421,Anseriformes
Mareca penelope/americana,Eurasian/American Wigeon,y00670,Anseriformes
Mareca sibilatrix,Chiloe Wigeon,chiwig1,Anseriformes
Anas sparsa,African Black Duck,afbduc1,Anseriformes
Anas undulata,Yellow-billed Duck,yebduc1,Anseriformes
Anas melleri,Meller's Duck,melduc1,Anseriformes
Anas superciliosa,Pacific Black Duck,pabduc1,Anseriformes
Anas laysanensis,Laysan Duck,layduc,Anseriformes
Anas wyvilliana,Hawaiian Duck,hawduc,Anseriformes
Anas luzonica,Philippine Duck,phiduc1,Anseriformes
Anas poecilorhyncha,Indian Spot-billed Duck,isbduc1,Anseriformes
Anas zonorhyncha,Eastern Spot-billed Duck,spbduc,Anseriformes
Anas poecilorhyncha/zonorhyncha,Indian/Eastern Spot-billed Duck,y00830,Anseriformes
Anas platyrhynchos,Mallard,mallar,Anseriformes
Anas platyrhynchos platyrhynchos/conboschas,Mallard (Northern),mallar3,Anseriformes
Anas platyrhynchos diazi,Mallard (Mexican),mexduc,Anseriformes
Anas platyrhynchos platyrhynchos x diazi,Mallard (Mexican intergrade),mallar4,Anseriformes
Anas platyrhynchos (Domestic type),Mallard (Domestic type),mallar2,Anseriformes
Cairina moschata x Anas platyrhynchos,Muscovy Duck x Mallard (hybrid),mdxmal1,Anseriformes
Aix sponsa x Anas platyrhynchos,Wood Duck x Mallard (hybrid),x00205,Anseriformes
Spatula clypeata x Anas platyrhynchos,Northern Shoveler x Mallard (hybrid),x00612,Anseriformes
Mareca strepera x Anas platyrhynchos,Gadwall x Mallard (hybrid),x00420,Anseriformes
Mareca penelope x Anas platyrhynchos,Eurasian Wigeon x Mallard (hybrid),x00647,Anseriformes
Mareca americana x Anas platyrhynchos,American Wigeon x Mallard (hybrid),x00611,Anseriformes
Anas undulata x platyrhynchos,Yellow-billed Duck x Mallard (hybrid),x00760,Anseriformes
Anas platyrhynchos x superciliosa,Mallard x Pacific Black Duck (hybrid),x00458,Anseriformes
Anas platyrhynchos x poecilorhyncha,Mallard x Indian Spot-billed Duck (hybrid),x00834,Anseriformes
Anas platyrhynchos x zonorhyncha,Mallard x Eastern Spot-billed Duck (hybrid),x00835,Anseriformes
Anas platyrhynchos x wyvilliana,Mallard x Hawaiian Duck (hybrid),x00423,Anseriformes
Anas rubripes,American Black Duck,ambduc,Anseriformes
Anas platyrhynchos x rubripes,Mallard x American Black Duck (hybrid),x00004,Anseriformes
Anas platyrhynchos/rubripes,Mallard/American Black Duck,y00600,Anseriformes
Anas fulvigula,Mottled Duck,motduc,Anseriformes
Anas fulvigula fulvigula,Mottled Duck (Florida),motduc1,Anseriformes
Anas fulvigula maculosa,Mottled Duck (Gulf Coast),motduc2,Anseriformes
Anas platyrhynchos x fulvigula,Mallard x Mottled Duck (hybrid),x00422,Anseriformes
Anas platyrhynchos/fulvigula,Mallard/Mottled Duck,y00632,Anseriformes
Anas rubripes/fulvigula,American Black/Mottled Duck,y00633,Anseriformes
Anas capensis,Cape Teal,captea1,Anseriformes
Anas bahamensis,White-cheeked Pintail,whcpin,Anseriformes
Anas bahamensis bahamensis/rubrirostris,White-cheeked Pintail (White-cheeked),whcpin1,Anseriformes
Anas bahamensis galapagensis,White-cheeked Pintail (Galapagos),whcpin2,Anseriformes
Anas platyrhynchos x bahamensis,Mallard x White-cheeked Pintail (hybrid),x00778,Anseriformes
Anas erythrorhyncha,Red-billed Duck,rebduc1,Anseriformes
Anas acuta,Northern Pintail,norpin,Anseriformes
Sibirionetta formosa x Anas acuta,Baikal Teal x Northern Pintail (hybrid),x00837,Anseriformes
Mareca strepera x Anas acuta,Gadwall x Northern Pintail (hybrid),x00610,Anseriformes
Mareca penelope x Anas acuta,Eurasian Wigeon x Northern Pintail (hybrid),x00761,Anseriformes
Mareca americana x Anas acuta,American Wigeon x Northern Pintail (hybrid),x00196,Anseriformes
Anas platyrhynchos x acuta,Mallard x Northern Pintail (hybrid),x00628,Anseriformes
Anas rubripes x acuta,American Black Duck x Northern Pintail (hybrid),x00674,Anseriformes
Anas eatoni,Eaton's Pintail,eatpin1,Anseriformes
Anas georgica,Yellow-billed Pintail,yebpin1,Anseriformes
Anas georgica georgica,Yellow-billed Pintail (South Georgia),yebpin2,Anseriformes
Anas georgica spinicauda/niceforoi,Yellow-billed Pintail (South American),yebpin3,Anseriformes
Anas crecca,Green-winged Teal,gnwtea,Anseriformes
Anas crecca crecca/nimia,Green-winged Teal (Eurasian),egwtea1,Anseriformes
Anas crecca carolinensis,Green-winged Teal (American),agwtea1,Anseriformes
Anas crecca crecca/nimia x carolinensis,Green-winged Teal (intergrade),gnwtea1,Anseriformes
Spatula querquedula/Anas crecca,Garganey/Green-winged Teal,y00766,Anseriformes
Spatula discors x Anas crecca,Blue-winged x Green-winged Teal (hybrid),x00673,Anseriformes
Spatula cyanoptera x Anas crecca,Cinnamon x Green-winged Teal (hybrid),x00763,Anseriformes
Mareca strepera x Anas crecca,Gadwall x Green-winged Teal (hybrid),x00762,Anseriformes
Mareca americana x Anas crecca,American Wigeon x Green-winged Teal (hybrid),x00646,Anseriformes
Anas platyrhynchos x crecca,Mallard x Green-winged Teal (hybrid),x00670,Anseriformes
Anas acuta x crecca,Northern Pintail x Green-winged Teal (hybrid),x00725,Anseriformes
Anas andium,Andean Teal,spetea3,Anseriformes
Anas andium altipetens,Andean Teal (Merida),andtea2,Anseriformes
Anas andium andium,Andean Teal (Andean),andtea3,Anseriformes
Anas flavirostris,Yellow-billed Teal,yebtea1,Anseriformes
Anas flavirostris flavirostris,Yellow-billed Teal (flavirostris),spetea2,Anseriformes
Anas flavirostris oxyptera,Yellow-billed Teal (oxyptera),spetea4,Anseriformes
Anas andium/flavirostris,Andean/Yellow-billed Teal,spetea1,Anseriformes
Anas albogularis,Andaman Teal,andtea1,Anseriformes
Anas gibberifrons,Sunda Teal,suntea1,Anseriformes
Anas gracilis,Gray Teal,gretea1,Anseriformes
Anas castanea,Chestnut Teal,chetea1,Anseriformes
Anas bernieri,Bernier's Teal,bertea1,Anseriformes
Anas aucklandica,Auckland Islands Teal,auitea1,Anseriformes
Anas nesiotis,Campbell Islands Teal,caitea1,Anseriformes
Anas chlorotis,Brown Teal,brotea1,Anseriformes
Anas platyrhynchos x chlorotis,Mallard x Brown Teal (hybrid),x00878,Anseriformes
Anas sp. (teal sp.),teal sp.,teal,Anseriformes
Anas sp.,dabbling duck sp.,dabduc1,Anseriformes
Malacorhynchus membranaceus,Pink-eared Duck,pieduc1,Anseriformes
Marmaronetta angustirostris,Marbled Teal,martea1,Anseriformes
Rhodonessa caryophyllacea,Pink-headed Duck,pihduc1,Anseriformes
Asarcornis scutulata,White-winged Duck,whwduc1,Anseriformes
Netta rufina,Red-crested Pochard,recpoc,Anseriformes
Anas platyrhynchos x Netta rufina,Mallard x Red-crested Pochard (hybrid),x00648,Anseriformes
Netta erythrophthalma,Southern Pochard,soupoc1,Anseriformes
Netta peposaca,Rosy-billed Pochard,robpoc1,Anseriformes
Aythya valisineria,Canvasback,canvas,Anseriformes
Aythya americana,Redhead,redhea,Anseriformes
Anas platyrhynchos x Aythya americana,Mallard x Redhead (hybrid),x00879,Anseriformes
Aythya valisineria x americana,Canvasback x Redhead (hybrid),x00684,Anseriformes
Aythya ferina,Common Pochard,compoc,Anseriformes
Aythya collaris,Ring-necked Duck,rinduc,Anseriformes
Aythya valisineria x collaris,Canvasback x Ring-necked Duck (hybrid),x00880,Anseriformes
Aythya americana x collaris,Redhead x Ring-necked Duck (hybrid),x00679,Anseriformes
Aythya nyroca,Ferruginous Duck,ferduc,Anseriformes
Aythya ferina x nyroca,Common Pochard x Ferruginous Duck (hybrid),x00764,Anseriformes
Aythya innotata,Madagascar Pochard,madpoc1,Anseriformes
Aythya baeri,Baer's Pochard,baepoc1,Anseriformes
Aythya nyroca x baeri,Ferruginous Duck x Baer's Pochard (hybrid),x00838,Anseriformes
Aythya nyroca/baeri,Ferruginous Duck/Baer's Pochard,y00709,Anseriformes
Aythya australis,White-eyed Duck,wheduc1,Anseriformes
Aythya fuligula,Tufted Duck,tufduc,Anseriformes
Aythya ferina x fuligula,Common Pochard x Tufted Duck (hybrid),x00683,Anseriformes
Aythya collaris x fuligula,Ring-necked x Tufted Duck (hybrid),x00652,Anseriformes
Aythya nyroca x fuligula,Ferruginous x Tufted Duck (hybrid),x00839,Anseriformes
Aythya novaeseelandiae,New Zealand Scaup,nezsca1,Anseriformes
Aythya marila,Greater Scaup,gresca,Anseriformes
