SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Serpophaga hypoleuca,River Tyrannulet,rivtyr1,Passeriformes
Serpophaga nigricans,Sooty Tyrannulet,sootyr1,Passeriformes
Serpophaga subcristata,White-crested Tyrannulet,whctyr1,Passeriformes
Serpophaga munda,White-bellied Tyrannulet,whbtyr2,Passeriformes
Serpophaga subcristata/munda,White-crested/White-bellied Tyrannulet,y01036,Passeriformes
Serpophaga griseicapilla,Straneck's Tyrannulet,gyctyr2,Passeriformes
Serpophaga subcristata/griseicapilla,White-crested/Straneck's Tyrannulet,y00884,Passeriformes
Serpophaga sp.,Serpophaga sp.,serpop1,Passeriformes
Mionectes striaticollis,Streak-necked Flycatcher,stnfly1,Passeriformes
Mionectes olivaceus,Olive-striped Flycatcher,olsfly1,Passeriformes
Mionectes olivaceus olivaceus,Olive-striped Flycatcher (Olive-streaked),olsfly2,Passeriformes
Mionectes olivaceus [galbinus Group],Olive-striped Flycatcher (Olive-striped),olsfly3,Passeriformes
Mionectes striaticollis/olivaceus,Streak-necked/Olive-striped Flycatcher,y00796,Passeriformes
Mionectes oleagineus,Ochre-bellied Flycatcher,ocbfly1,Passeriformes
Mionectes macconnelli,McConnell's Flycatcher,mccfly1,Passeriformes
Mionectes macconnelli macconnelli,McConnell's Flycatcher (Guianan),mccfly2,Passeriformes
Mionectes macconnelli roraimae,McConnell's Flycatcher (Sierra de Lema),mccfly3,Passeriformes
Mionectes macconnelli amazonus/peruanus,McConnell's Flycatcher (Inambari),mccfly4,Passeriformes
Mionectes oleagineus/macconnelli,Ochre-bellied/McConnell's Flycatcher,y00797,Passeriformes
Mionectes rufiventris,Gray-hooded Flycatcher,gyhfly1,Passeriformes
Mionectes sp.,Mionectes sp.,mionec1,Passeriformes
Leptopogon amaurocephalus,Sepia-capped Flycatcher,secfly1,Passeriformes
Leptopogon superciliaris,Slaty-capped Flycatcher,slcfly1,Passeriformes
Leptopogon superciliaris transandinus,Slaty-capped Flycatcher (transandinus),slcfly4,Passeriformes
Leptopogon superciliaris superciliaris,Slaty-capped Flycatcher (superciliaris),slcfly2,Passeriformes
Leptopogon superciliaris albidiventer,Slaty-capped Flycatcher (albidiventris),slcfly3,Passeriformes
Leptopogon rufipectus,Rufous-breasted Flycatcher,rubfly2,Passeriformes
Leptopogon taczanowskii,Inca Flycatcher,incfly1,Passeriformes
Phylloscartes poecilotis,Variegated Bristle-Tyrant,vabtyr1,Passeriformes
Phylloscartes chapmani,Chapman's Bristle-Tyrant,chabrt1,Passeriformes
Phylloscartes ophthalmicus,Marble-faced Bristle-Tyrant,mfbtyr1,Passeriformes
Phylloscartes venezuelanus,Venezuelan Bristle-Tyrant,vebtyr2,Passeriformes
Phylloscartes lanyoni,Antioquia Bristle-Tyrant,anbtyr1,Passeriformes
Phylloscartes orbitalis,Spectacled Bristle-Tyrant,spbtyr1,Passeriformes
Phylloscartes eximius,Southern Bristle-Tyrant,sobtyr2,Passeriformes
Phylloscartes ventralis,Mottle-cheeked Tyrannulet,moctyr2,Passeriformes
Phylloscartes kronei,Restinga Tyrannulet,restyr1,Passeriformes
Phylloscartes beckeri,Bahia Tyrannulet,bahtyr1,Passeriformes
Phylloscartes flavovirens,Yellow-green Tyrannulet,yegtyr1,Passeriformes
Phylloscartes virescens,Olive-green Tyrannulet,olgtyr1,Passeriformes
