COMMON_NAME,dl,COMMON_NAME_Original
Scaly-naped pigeon,1,Scaly-naped pigeon
Scarlet ibis,1,Scarlet ibis
Scarlet tanager,1,Scarlet tanager
Scissor-tailed flycatcher,1,Scissor-tailed flycatcher
Seaside sparrow,1,Seaside sparrow
Sedge warbler,1,Sedge warbler
Sedge wren,1,Sedge wren
Semipalmated plover,1,Semipalmated plover
Semipalmated sandpiper,1,Semipalmated sandpiper
Sharp-shinned hawk,1,Sharp-shinned hawk
Sharp-tailed grouse,1,Sharp-tailed grouse
Sharp-tailed sandpiper,1,Sharp-tailed sandpiper
Shiny cowbird,1,Shiny cowbird
Short-billed dowitcher,1,Short-billed dowitcher
Short-eared owl,1,Short-eared owl
Short-tailed albatross,1,Short-tailed albatross
Short-tailed hawk,1,Short-tailed hawk
Short-tailed shearwater,1,Short-tailed shearwater
Siberian accentor,1,Siberian accentor
Siberian blue robin,1,Siberian blue robin
Sinaloa wren,1,Sinaloa wren
Slaty-backed gull,1,Slaty-backed gull
Slender-billed curlew,1,Slender-billed curlew
Smew,1,Smew
Smooth-billed ani,1,Smooth-billed ani
Snail kite,1,Snail kite
Snow bunting,1,Snow bunting
Snowy egret,1,Snowy egret
Snowy owl,1,Snowy owl
Snowy plover,1,Snowy plover
Social flycatcher,1,Social flycatcher
Solitary sandpiper,1,Solitary sandpiper
Solitary snipe,1,Solitary snipe
Song sparrow,1,Song sparrow
Song thrush,1,Song thrush
Sooty grouse,1,Sooty grouse
Sooty tern,1,Sooty tern
South polar skua,1,South polar skua
Southern martin,1,Southern martin
Spoon-billed sandpiper,1,Spoon-billed sandpiper
Spot-breasted oriole,1,Spot-breasted oriole
Spotted dove,1,Spotted dove
Spotted flycatcher,1,Spotted flycatcher
Spotted owl,1,Spotted owl
Spotted rail,1,Spotted rail
Spotted redshank,1,Spotted redshank
Spotted sandpiper,1,Spotted sandpiper
Spotted towhee,1,Spotted towhee
Spruce grouse,1,Spruce grouse
Stilt sandpiper,1,Stilt sandpiper
Streak-backed oriole,1,Streak-backed oriole
Streaked shearwater,1,Streaked shearwater
Sulphur-bellied flycatcher,1,Sulphur-bellied flycatcher
Summer tanager,1,Summer tanager
Sungrebe,1,Sungrebe
Surfbird,1,Surfbird
Swallow-tailed gull,1,Swallow-tailed gull
Swallow-tailed kite,1,Swallow-tailed kite
Swamp sparrow,1,Swamp sparrow
Taiga flycatcher,1,Taiga flycatcher
Tamaulipas crow,1,Tamaulipas crow
Tawny-shouldered blackbird,1,Tawny-shouldered blackbird
Tennessee warbler,1,Tennessee warbler
Terek sandpiper,1,Terek sandpiper
Thick-billed kingbird,1,Thick-billed kingbird
Thick-billed murre,1,Thick-billed murre
Thick-billed parrot,1,Thick-billed parrot
Thick-billed vireo,1,Thick-billed vireo
Tree pipit,1,Tree pipit
Tree swallow,1,Tree swallow
Tricolored blackbird,1,Tricolored blackbird
Tropical kingbird,1,Tropical kingbird
Tropical parula,1,Tropical parula
Trumpeter swan,1,Trumpeter swan
Tufted puffin,1,Tufted puffin
Tufted titmouse,1,Tufted titmouse
Turkey vulture,1,Turkey vulture
Upland sandpiper,1,Upland sandpiper
Varied bunting,1,Varied bunting
Varied thrush,1,Varied thrush
Variegated flycatcher,1,Variegated flycatcher
Veery,1,Veery
Verdin,1,Verdin
Vermilion flycatcher,1,Vermilion flycatcher
Vesper sparrow,1,Vesper sparrow
Violet-crowned hummingbird,1,Violet-crowned hummingbird
Violet-green swallow,1,Violet-green swallow
Virginia rail,1,Virginia rail
Wandering albatross,1,Wandering albatross
Wandering tattler,1,Wandering tattler
Warbling vireo,1,Warbling vireo
Wedge-tailed shearwater,1,Wedge-tailed shearwater
Western bluebird,1,Western bluebird
Western grebe,1,Western grebe
Western gull,1,Western gull
Western kingbird,1,Western kingbird
Western meadowlark,1,Western meadowlark
Western sandpiper,1,Western sandpiper
Western spindalis,1,Western spindalis
Western tanager,1,Western tanager
Whimbrel,1,Whimbrel
Whiskered auklet,1,Whiskered auklet
Whiskered tern,1,Whiskered tern
White wagtail,1,White wagtail
White-breasted nuthatch,1,White-breasted nuthatch
White-capped albatross,1,White-capped albatross
White-chinned petrel,1,White-chinned petrel
White-collared seedeater,1,White-collared seedeater
White-collared swift,1,White-collared swift
White-crested elaenia,1,White-crested elaenia
White-crowned pigeon,1,White-crowned pigeon
White-crowned sparrow,1,White-crowned sparrow
White-eared hummingbird,1,White-eared hummingbird
White-eyed vireo,1,White-eyed vireo
White-faced ibis,1,White-faced ibis
White-headed woodpecker,1,White-headed woodpecker
White-necked petrel,1,White-necked petrel
White-rumped sandpiper,1,White-rumped sandpiper
White-rumped shama,1,White-rumped shama
White-tailed eagle,1,White-tailed eagle
White-tailed hawk,1,White-tailed hawk
White-tailed kite,1,White-tailed kite
White-tailed ptarmigan,1,White-tailed ptarmigan
White-tailed tropicbird,1,White-tailed tropicbird
White-throated needletail,1,White-throated needletail
White-throated sparrow,1,White-throated sparrow
White-throated swift,1,White-throated swift
White-tipped dove,1,White-tipped dove
White-winged parakeet,1,White-winged parakeet
White-winged tern,1,White-winged tern
Whooping crane,1,Whooping crane
Wild turkey,1,Wild turkey
Willet,1,Willet
Willow ptarmigan,1,Willow ptarmigan
Willow warbler,1,Willow warbler
Winter wren,1,Winter wren
Wood sandpiper,1,Wood sandpiper
Wood stork,1,Wood stork
Wood thrush,1,Wood thrush
Wood warbler,1,Wood warbler
Worm-eating warbler,1,Worm-eating warbler
Wrentit,1,Wrentit
Yellow bittern,1,Yellow bittern
Yellow rail,1,Yellow rail
Yellow-bellied flycatcher,1,Yellow-bellied flycatcher
Yellow-bellied sapsucker,1,Yellow-bellied sapsucker
Yellow-billed cardinal,1,Yellow-billed cardinal
Yellow-billed cuckoo,1,Yellow-billed cuckoo
Yellow-billed loon,1,Yellow-billed loon
Yellow-billed magpie,1,Yellow-billed magpie
Yellow-breasted bunting,1,Yellow-breasted bunting
Yellow-breasted chat,1,Yellow-breasted chat
Yellow-browed bunting,1,Yellow-browed bunting
Yellow-browed warbler,1,Yellow-browed warbler
Yellow-eyed junco,1,Yellow-eyed junco
Yellow-faced grassquit,1,Yellow-faced grassquit
Yellow-footed gull,1,Yellow-footed gull
Yellow-fronted canary,1,Yellow-fronted canary
Yellow-green vireo,1,Yellow-green vireo
Yellow-headed blackbird,1,Yellow-headed blackbird
Yellow-legged gull,1,Yellow-legged gull
Yellow-rumped warbler,1,Yellow-rumped warbler
Yellow-throated bunting,1,Yellow-throated bunting
Yellow-throated vireo,1,Yellow-throated vireo
Yellow-throated warbler,1,Yellow-throated warbler
Yucatan vireo,1,Yucatan vireo
Zebra dove,1,Zebra dove
Zenaida dove,1,Zenaida dove
Zone-tailed hawk,1,Zone-tailed hawk
Barnacle goose,2,Barnacle goose
Black scoter,2,Black scoter
Blue-winged teal,2,Blue-winged teal
Bufflehead,2,Bufflehead
Cackling goose,2,Cackling goose
California quail,2,California quail
Canvasback,2,Canvasback
Cinnamon teal,2,Cinnamon teal
Common goldeneye,2,Common goldeneye
Common merganser,2,Common merganser
Common pochard,2,Common pochard
Common scoter,2,Common scoter
Egyptian goose,2,Egyptian goose
Emperor goose,2,Emperor goose
Eurasian wigeon,2,Eurasian wigeon
Falcated duck,2,Falcated duck
Gadwall,2,Gadwall
Garganey,2,Garganey
Greater scaup,2,Greater scaup
Greater white-fronted goose,2,Greater white-fronted goose
Green-winged teal,2,Green-winged teal
Harlequin duck,2,Harlequin duck
Hawaiian duck,2,Hawaiian duck
Helmeted guineafowl,2,Helmeted guineafowl
Hooded merganser,2,Hooded merganser
King eider,2,King eider
Labrador duck,2,Labrador duck
Laysan duck,2,Laysan duck
Lesser scaup,2,Lesser scaup
Lesser white-fronted goose,2,Lesser white-fronted goose
Long-tailed duck,2,Long-tailed duck
Mallard,2,Mallard
Masked duck,2,Masked duck
Montezuma quail,2,Montezuma quail
Mottled duck,2,Mottled duck
Mountain quail,2,Mountain quail
Muscovy duck,2,Muscovy duck
Northern bobwhite,2,Northern bobwhite
Northern pintail,2,Northern pintail
Northern shoveler,2,Northern shoveler
Pink-footed goose,2,Pink-footed goose
Plain chachalaca,2,Plain chachalaca
Red-breasted merganser,2,Red-breasted merganser
Ring-necked duck,2,Ring-necked duck
Ruddy duck,2,Ruddy duck
Scaled quail,2,Scaled quail
Snow goose,2,Snow goose
Spectacled eider,2,Spectacled eider
Surf scoter,2,Surf scoter
Tufted duck,2,Tufted duck
Tundra swan,2,Tundra swan
White-cheeked pintail,2,White-cheeked pintail
White-winged scoter,2,White-winged scoter
Whooper swan,2,Whooper swan
Wood duck,2,Wood duck
