COMMON_NAME,dl,COMMON_NAME_Original
Worthens sparrow,1,Worthen's sparrow
Xantuss hummingbird,1,Xantus's hummingbird
Zinos petrel,1,Zino's petrel
Acadian flycatcher,1,Acadian flycatcher
Acorn woodpecker,1,Acorn woodpecker
African silverbill,1,African silverbill
African stonechat,1,African stonechat
Alder flycatcher,1,Alder flycatcher
Aleutian tern,1,Aleutian tern
Altamira oriole,1,Altamira oriole
Amazon kingfisher,1,Amazon kingfisher
American avocet,1,American avocet
American bittern,1,American bittern
American black duck,1,American black duck
American coot,1,American coot
American crow,1,American crow
American dipper,1,American dipper
American flamingo,1,American flamingo
American goldfinch,1,American goldfinch
American kestrel,1,American kestrel
American oystercatcher,1,American oystercatcher
American redstart,1,American redstart
American robin,1,American robin
American three-toed woodpecker,1,American three-toed woodpecker
American tree sparrow,1,American tree sparrow
American white pelican,1,American white pelican
American wigeon,1,American wigeon
American woodcock,1,American woodcock
Ancient murrelet,1,Ancient murrelet
Anhinga,1,Anhinga
Antillean nighthawk,1,Antillean nighthawk
Aplomado falcon,1,Aplomado falcon
Arctic tern,1,Arctic tern
Arctic warbler,1,Arctic warbler
Arizona woodpecker,1,Arizona woodpecker
Ash-throated flycatcher,1,Ash-throated flycatcher
Asian brown flycatcher,1,Asian brown flycatcher
Atlantic puffin,1,Atlantic puffin
Aztec thrush,1,Aztec thrush
Bahama mockingbird,1,Bahama mockingbird
Bahama swallow,1,Bahama swallow
Bahama woodstar,1,Bahama woodstar
Baikal teal,1,Baikal teal
Bald eagle,1,Bald eagle
Baltimore oriole,1,Baltimore oriole
Bananaquit,1,Bananaquit
Band-tailed pigeon,1,Band-tailed pigeon
Barn owl,1,Barn owl
Barolo shearwater,1,Barolo shearwater
Barred owl,1,Barred owl
Bar-tailed godwit,1,Bar-tailed godwit
Bay-breasted warbler,1,Bay-breasted warbler
Belted kingfisher,1,Belted kingfisher
Bermuda petrel,1,Bermuda petrel
Berylline hummingbird,1,Berylline hummingbird
Black francolin,1,Black francolin
Black guillemot,1,Black guillemot
Black kite,1,Black kite
Black mamo,1,Black mamo
Black noddy,1,Black noddy
Black oystercatcher,1,Black oystercatcher
Black phoebe,1,Black phoebe
Black skimmer,1,Black skimmer
Black tern,1,Black tern
Black turnstone,1,Black turnstone
Black vulture,1,Black vulture
Black-and-white warbler,1,Black-and-white warbler
Black-backed woodpecker,1,Black-backed woodpecker
Black-billed cuckoo,1,Black-billed cuckoo
Black-billed magpie,1,Black-billed magpie
Black-browed albatross,1,Black-browed albatross
Blackburnian warbler,1,Blackburnian warbler
Black-capped chickadee,1,Black-capped chickadee
Black-capped gnatcatcher,1,Black-capped gnatcatcher
Black-capped petrel,1,Black-capped petrel
Black-capped vireo,1,Black-capped vireo
Black-cheeked warbler,1,Black-cheeked warbler
Black-chinned hummingbird,1,Black-chinned hummingbird
Black-chinned sparrow,1,Black-chinned sparrow
Black-crested titmouse,1,Black-crested titmouse
Black-faced grassquit,1,Black-faced grassquit
Black-footed albatross,1,Black-footed albatross
Black-headed grosbeak,1,Black-headed grosbeak
Black-headed gull,1,Black-headed gull
Black-headed nightingale-thrush,1,Black-headed nightingale-thrush
Black-legged kittiwake,1,Black-legged kittiwake
Black-necked stilt,1,Black-necked stilt
Blackpoll warbler,1,Blackpoll warbler
Black-rumped waxbill,1,Black-rumped waxbill
Black-tailed gnatcatcher,1,Black-tailed gnatcatcher
Black-tailed godwit,1,Black-tailed godwit
Black-tailed gull,1,Black-tailed gull
