Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Image_URL,Link_URL,us
Falco sparverius,American kestrel,American kestrel,amekes,Falconiformes,https://s3.amazonaws.com/com-aab-media/sound/522506.mp3,s3.amazonaws.com/com-aab-media/photo/75242551-1280px.jpg,https://www.allaboutbirds.org/guide/American_kestrel,1
Haematopus palliatus,American oystercatcher,American oystercatcher,ameoys,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522121.mp3,s3.amazonaws.com/com-aab-media/photo/75242601-1280px.jpg,https://www.allaboutbirds.org/guide/American_oystercatcher,1
Setophaga ruticilla,American redstart,American redstart,amered,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522911.mp3,s3.amazonaws.com/com-aab-media/photo/75237001-1280px.jpg,https://www.allaboutbirds.org/guide/American_redstart,1
Turdus migratorius,American robin,American robin,amerob,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522803.mp3,s3.amazonaws.com/com-aab-media/photo/75242661-1280px.jpg,https://www.allaboutbirds.org/guide/American_robin,1
Picoides dorsalis,American three-toed woodpecker,American three-toed woodpecker,attwoo1,Piciformes,https://s3.amazonaws.com/com-aab-media/sound/522489.mp3,s3.amazonaws.com/com-aab-media/photo/75258651-1280px.jpg,https://www.allaboutbirds.org/guide/American_three-toed_woodpecker,1
Spizelloides arborea,American tree sparrow,American tree sparrow,amtspa,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523011.mp3,s3.amazonaws.com/com-aab-media/photo/75257741-1280px.jpg,https://www.allaboutbirds.org/guide/American_tree_sparrow,1
Pelecanus erythrorhynchos,American white pelican,American white pelican,amwpel,Pelecaniformes,https://s3.amazonaws.com/com-aab-media/sound/522019.mp3,s3.amazonaws.com/com-aab-media/photo/75258011-1280px.jpg,https://www.allaboutbirds.org/guide/American_white_pelican,1
Mareca americana,American Wigeon,American wigeon,amewig,Anseriformes,https://s3.amazonaws.com/com-aab-media/sound/521848.mp3,s3.amazonaws.com/com-aab-media/photo/75236291-1280px.jpg,https://www.allaboutbirds.org/guide/American_Wigeon,1
Scolopax minor,American woodcock,American woodcock,amewoo,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522212.mp3,s3.amazonaws.com/com-aab-media/photo/75257391-1280px.jpg,https://www.allaboutbirds.org/guide/American_woodcock,1
Synthliboramphus antiquus,Ancient murrelet,Ancient murrelet,ancmur,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522240.mp3,s3.amazonaws.com/com-aab-media/photo/75258201-1280px.jpg,https://www.allaboutbirds.org/guide/Ancient_murrelet,1
Anhinga anhinga,Anhinga,Anhinga,anhing,Suliformes,https://s3.amazonaws.com/com-aab-media/sound/522018.mp3,s3.amazonaws.com/com-aab-media/photo/75258421-1280px.jpg,https://www.allaboutbirds.org/guide/Anhinga,1
Calypte anna,Annas hummingbird,Anna's hummingbird,annhum,Caprimulgiformes,https://s3.amazonaws.com/com-aab-media/sound/522408.mp3,s3.amazonaws.com/com-aab-media/photo/75258511-1280px.jpg,https://www.allaboutbirds.org/guide/Annas_hummingbird,1
Chordeiles gundlachii,Antillean nighthawk,Antillean nighthawk,antnig,Caprimulgiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Antillean_Nighthawk2_Cuba_08_04_2004.jpg?itok=8hNwc5a9,https://www.hbw.com/species/antillean-nighthawk-chordeiles-gundlachii#Taxonomy,1
