,Scientific_Name,Common_Name,Species_Code,Order
8278,Phoenicircus carnifex,Guianan Red-Cotinga,gurcot1,Passeriformes
8279,Phoenicircus nigricollis,Black-necked Red-Cotinga,bnrcot1,Passeriformes
8280,Rupicola rupicola,Guianan Cock-of-the-rock,gcoroc1,Passeriformes
8281,Rupicola peruvianus,Andean Cock-of-the-rock,andcot1,Passeriformes
8282,Snowornis subalaris,Gray-tailed Piha,gytpih1,Passeriformes
8283,Snowornis cryptolophus,Olivaceous Piha,olipih2,Passeriformes
8284,Haematoderus militaris,Crimson Fruitcrow,crifru1,Passeriformes
8285,Querula purpurata,Purple-throated Fruitcrow,putfru1,Passeriformes
8286,Pyroderus scutatus,Red-ruffed Fruitcrow,rerfru1,Passeriformes
8287,Cephalopterus glabricollis,Bare-necked Umbrellabird,banumb1,Passeriformes
8288,Cephalopterus ornatus,Amazonian Umbrellabird,amaumb1,Passeriformes
8289,Cephalopterus penduliger,Long-wattled Umbrellabird,lowumb1,Passeriformes
8290,Perissocephalus tricolor,Capuchinbird,capuch1,Passeriformes
8291,Cotinga amabilis,Lovely Cotinga,lovcot1,Passeriformes
8292,Cotinga ridgwayi,Turquoise Cotinga,turcot1,Passeriformes
8293,Cotinga nattererii,Blue Cotinga,blucot1,Passeriformes
8294,Cotinga maynana,Plum-throated Cotinga,pltcot1,Passeriformes
8295,Cotinga cotinga,Purple-breasted Cotinga,pubcot1,Passeriformes
8296,Cotinga maculata,Banded Cotinga,bancot1,Passeriformes
8297,Cotinga cayana,Spangled Cotinga,spacot1,Passeriformes
8298,Cotinga sp.,blue cotinga sp.,blucot2,Passeriformes
8299,Lipaugus weberi,Chestnut-capped Piha,chcpih1,Passeriformes
8300,Lipaugus fuscocinereus,Dusky Piha,duspih1,Passeriformes
8301,Lipaugus uropygialis,Scimitar-winged Piha,scwpih1,Passeriformes
8302,Lipaugus unirufus,Rufous Piha,rufpih1,Passeriformes
8303,Lipaugus vociferans,Screaming Piha,scrpih1,Passeriformes
8304,Lipaugus lanioides,Cinnamon-vented Piha,civpih1,Passeriformes
8305,Lipaugus streptophorus,Rose-collared Piha,rocpih1,Passeriformes
8306,Tijuca atra,Black-and-gold Cotinga,bagcot1,Passeriformes
8307,Tijuca condita,Gray-winged Cotinga,gywcot1,Passeriformes
8308,Procnias tricarunculatus,Three-wattled Bellbird,thwbel,Passeriformes
8309,Procnias albus,White Bellbird,whibel2,Passeriformes
8310,Procnias averano,Bearded Bellbird,beabel1,Passeriformes
8311,Procnias nudicollis,Bare-throated Bellbird,batbel1,Passeriformes
8312,Porphyrolaema porphyrolaema,Purple-throated Cotinga,putcot1,Passeriformes
8313,Carpodectes hopkei,Black-tipped Cotinga,bltcot1,Passeriformes
8314,Carpodectes antoniae,Yellow-billed Cotinga,yebcot1,Passeriformes
8315,Carpodectes nitidus,Snowy Cotinga,snocot1,Passeriformes
8316,Xipholena punicea,Pompadour Cotinga,pomcot1,Passeriformes
8317,Xipholena lamellipennis,White-tailed Cotinga,whtcot1,Passeriformes
8318,Xipholena atropurpurea,White-winged Cotinga,whwcot1,Passeriformes
8319,Gymnoderus foetidus,Bare-necked Fruitcrow,banfru1,Passeriformes
8320,Conioptilon mcilhennyi,Black-faced Cotinga,blfcot1,Passeriformes
8321,Tyranneutes stolzmanni,Dwarf Tyrant-Manakin,dwtman1,Passeriformes
8322,Tyranneutes virescens,Tiny Tyrant-Manakin,titman1,Passeriformes
8323,Neopelma pallescens,Pale-bellied Tyrant-Manakin,pbtman1,Passeriformes
8324,Neopelma chrysocephalum,Saffron-crested Tyrant-Manakin,sctman1,Passeriformes
8325,Neopelma aurifrons,Wied's Tyrant-Manakin,witman1,Passeriformes
8326,Neopelma chrysolophum,Serra do Mar Tyrant-Manakin,sdmman1,Passeriformes
8327,Neopelma sulphureiventer,Sulphur-bellied Tyrant-Manakin,sbtman1,Passeriformes
8328,Chloropipo flavicapilla,Yellow-headed Manakin,yehman2,Passeriformes
8329,Chloropipo unicolor,Jet Manakin,jetman2,Passeriformes
8330,Antilophia bokermanni,Araripe Manakin,araman1,Passeriformes
8331,Antilophia galeata,Helmeted Manakin,helman1,Passeriformes
8332,Chiroxiphia lanceolata,Lance-tailed Manakin,latman1,Passeriformes
8333,Chiroxiphia linearis,Long-tailed Manakin,lotman1,Passeriformes
8334,Chiroxiphia pareola,Blue-backed Manakin,blbman1,Passeriformes
8335,Chiroxiphia boliviana,Yungas Manakin,yunman1,Passeriformes
8336,Chiroxiphia caudata,Swallow-tailed Manakin,swtman1,Passeriformes
8337,Ilicura militaris,Pin-tailed Manakin,pitman1,Passeriformes
8338,Masius chrysopterus,Golden-winged Manakin,gowman1,Passeriformes
8339,Corapipo altera,White-ruffed Manakin,whrman1,Passeriformes
8340,Corapipo leucorrhoa,White-bibbed Manakin,whbman2,Passeriformes
8341,Corapipo gutturalis,White-throated Manakin,whtman1,Passeriformes
8342,Xenopipo uniformis,Olive Manakin,oliman2,Passeriformes
8343,Xenopipo atronitens,Black Manakin,blaman1,Passeriformes
8344,Cryptopipo holochlora,Green Manakin,greman2,Passeriformes
8345,Cryptopipo holochlora litae/suffusa,Green Manakin (Choco),grnman1,Passeriformes
8346,Cryptopipo holochlora holochlora/viridior,Green Manakin (Green),grnman2,Passeriformes
8347,Lepidothrix coronata,Blue-crowned Manakin,blcman1,Passeriformes
8348,Lepidothrix coronata velutina/minuscula,Blue-crowned Manakin (Velvety),bucman1,Passeriformes
8349,Lepidothrix coronata [coronata Group],Blue-crowned Manakin (Blue-crowned),bucman2,Passeriformes
8350,Lepidothrix coronata [exquisita Group],Blue-crowned Manakin (Exquisite),bucman3,Passeriformes
8351,Lepidothrix nattereri,Snow-capped Manakin,sncman1,Passeriformes
8352,Lepidothrix vilasboasi,Golden-crowned Manakin,gocman2,Passeriformes
8353,Lepidothrix iris,Opal-crowned Manakin,opcman1,Passeriformes
8354,Lepidothrix suavissima,Orange-bellied Manakin,orbman1,Passeriformes
8355,Lepidothrix serena,White-fronted Manakin,whfman1,Passeriformes
8356,Lepidothrix suavissima/serena,Orange-bellied/White-fronted Manakin,y00886,Passeriformes
8357,Lepidothrix isidorei,Blue-rumped Manakin,blrman1,Passeriformes
8358,Lepidothrix coeruleocapilla,Cerulean-capped Manakin,cecman1,Passeriformes
8359,Lepidothrix sp.,Lepidothrix sp.,lepido2,Passeriformes
8360,Heterocercus aurantiivertex,Orange-crowned Manakin,orcman3,Passeriformes
8361,Heterocercus flavivertex,Yellow-crowned Manakin,yecman2,Passeriformes
8362,Heterocercus linteatus,Flame-crowned Manakin,flcman2,Passeriformes
8363,Manacus candei,White-collared Manakin,whcman1,Passeriformes
8364,Manacus aurantiacus,Orange-collared Manakin,orcman1,Passeriformes
8365,Manacus vitellinus,Golden-collared Manakin,gocman1,Passeriformes
8366,Manacus candei x vitellinus,White-collared x Golden-collared Manakin (hybrid),x00811,Passeriformes
8367,Manacus manacus,White-bearded Manakin,whbman1,Passeriformes
8368,Pipra aureola,Crimson-hooded Manakin,crhman1,Passeriformes
8369,Pipra filicauda,Wire-tailed Manakin,witman2,Passeriformes
8370,Pipra fasciicauda,Band-tailed Manakin,batman1,Passeriformes
8371,Machaeropterus deliciosus,Club-winged Manakin,clwman1,Passeriformes
8372,Machaeropterus regulus,Striped Manakin,strman1,Passeriformes
8373,Machaeropterus regulus [striolatus Group],Striped Manakin (Western),strman3,Passeriformes
8374,Machaeropterus regulus aureopectus,Striped Manakin (aureopectus),strman4,Passeriformes
8375,Machaeropterus regulus regulus,Striped Manakin (Eastern),strman2,Passeriformes
8376,Machaeropterus [undescribed form],Painted Manakin (undescribed form),paiman1,Passeriformes
8377,Machaeropterus pyrocephalus,Fiery-capped Manakin,ficman1,Passeriformes
8378,Dixiphia pipra,White-crowned Manakin,whcman2,Passeriformes
8379,Dixiphia pipra anthracina,White-crowned Manakin (Zeledon's),whcman3,Passeriformes
8380,Dixiphia pipra [pipra Group],White-crowned Manakin (White-crowned),whcman4,Passeriformes
8381,Ceratopipra cornuta,Scarlet-horned Manakin,schman1,Passeriformes
8382,Ceratopipra mentalis,Red-capped Manakin,recman1,Passeriformes
8383,Ceratopipra erythrocephala,Golden-headed Manakin,gohman1,Passeriformes
8384,Ceratopipra rubrocapilla,Red-headed Manakin,rehman1,Passeriformes
8385,Ceratopipra chloromeros,Round-tailed Manakin,rotman1,Passeriformes
8386,Pipridae sp.,manakin sp.,manaki1,Passeriformes
8387,Piprites chloris,Wing-barred Piprites,wibpip1,Passeriformes
8388,Piprites griseiceps,Gray-headed Piprites,grhpip1,Passeriformes
8389,Piprites pileata,Black-capped Piprites,bkcpip1,Passeriformes
8390,Tityra cayana,Black-tailed Tityra,blttit1,Passeriformes
8391,Tityra cayana braziliensis,Black-tailed Tityra (Eastern),bkttit4,Passeriformes
8392,Tityra cayana cayana,Black-tailed Tityra (Western),bkttit5,Passeriformes
8393,Tityra inquisitor,Black-crowned Tityra,blctit1,Passeriformes
8394,Tityra semifasciata,Masked Tityra,mastit1,Passeriformes
8395,Tityra sp.,Tityra sp.,tityra1,Passeriformes
8396,Schiffornis major,Varzea Schiffornis,varsch1,Passeriformes
8397,Schiffornis olivacea,Olivaceous Schiffornis,thlsch7,Passeriformes
8398,Schiffornis veraepacis,Northern Schiffornis,thlsch2,Passeriformes
8399,Schiffornis veraepacis [veraepacis Group],Northern Schiffornis (Northern),norsch1,Passeriformes
8400,Schiffornis veraepacis rosenbergi,Northern Schiffornis (Ecuadorian),thlsch5,Passeriformes
8401,Schiffornis aenea,Foothill Schiffornis,thlsch8,Passeriformes
8402,Schiffornis stenorhyncha,Russet-winged Schiffornis,thlsch4,Passeriformes
8403,Schiffornis turdina,Brown-winged Schiffornis,thlsch3,Passeriformes
8404,Schiffornis turdina amazonum,Brown-winged Schiffornis (Amazonian),thlsch6,Passeriformes
8405,Schiffornis turdina [turdina Group],Brown-winged Schiffornis (Brown-winged),bnwsch1,Passeriformes
8406,Schiffornis virescens,Greenish Schiffornis,gresch2,Passeriformes
8407,Schiffornis sp.,Schiffornis sp.,thlsch,Passeriformes
8408,Laniocera hypopyrra,Cinereous Mourner,cinmou1,Passeriformes
8409,Laniocera rufescens,Speckled Mourner,spemou1,Passeriformes
8410,Iodopleura isabellae,White-browed Purpletuft,whbpur1,Passeriformes
8411,Iodopleura fusca,Dusky Purpletuft,duspur1,Passeriformes
8412,Iodopleura pipra,Buff-throated Purpletuft,butpur1,Passeriformes
8413,Laniisoma elegans,Shrike-like Cotinga,shlcot1,Passeriformes
8414,Laniisoma elegans [buckleyi Group],Shrike-like Cotinga (Andean),shlcot2,Passeriformes
8415,Laniisoma elegans elegans,Shrike-like Cotinga (Brazilian),shlcot3,Passeriformes
8416,Xenopsaris albinucha,White-naped Xenopsaris,whnxen1,Passeriformes
