,Scientific_Name,Common_Name,Species_Code,Order
0,Struthio camelus,Common Ostrich,ostric2,Struthioniformes
1,Struthio molybdophanes,Somali Ostrich,ostric3,Struthioniformes
2,Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,Struthioniformes
3,Rhea americana,Greater Rhea,grerhe1,Rheiformes
4,Rhea pennata,Lesser Rhea,lesrhe2,Rheiformes
5,Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,Rheiformes
6,Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,Rheiformes
7,Nothocercus julius,Tawny-breasted Tinamou,tabtin1,Tinamiformes
8,Nothocercus bonapartei,Highland Tinamou,higtin1,Tinamiformes
9,Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,Tinamiformes
10,Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,Tinamiformes
11,Nothocercus nigrocapillus,Hooded Tinamou,hootin1,Tinamiformes
12,Tinamus tao,Gray Tinamou,grytin1,Tinamiformes
13,Tinamus solitarius,Solitary Tinamou,soltin1,Tinamiformes
14,Tinamus osgoodi,Black Tinamou,blatin1,Tinamiformes
15,Tinamus major,Great Tinamou,gretin1,Tinamiformes
16,Tinamus guttatus,White-throated Tinamou,whttin1,Tinamiformes
17,Tinamus sp.,Tinamus sp.,tinamu1,Tinamiformes
18,Crypturellus cinereus,Cinereous Tinamou,cintin1,Tinamiformes
19,Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,Tinamiformes
20,Crypturellus soui,Little Tinamou,littin1,Tinamiformes
21,Crypturellus ptaritepui,Tepui Tinamou,teptin1,Tinamiformes
22,Crypturellus obsoletus,Brown Tinamou,brotin1,Tinamiformes
23,Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,Tinamiformes
24,Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,Tinamiformes
25,Crypturellus undulatus,Undulated Tinamou,undtin1,Tinamiformes
26,Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,Tinamiformes
27,Crypturellus strigulosus,Brazilian Tinamou,bratin1,Tinamiformes
28,Crypturellus duidae,Gray-legged Tinamou,gyltin1,Tinamiformes
29,Crypturellus erythropus,Red-legged Tinamou,reltin1,Tinamiformes
30,Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,Tinamiformes
31,Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,Tinamiformes
32,Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,Tinamiformes
33,Crypturellus atrocapillus,Black-capped Tinamou,blctin1,Tinamiformes
34,Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,Tinamiformes
35,Crypturellus kerriae,Choco Tinamou,chotin1,Tinamiformes
36,Crypturellus variegatus,Variegated Tinamou,vartin1,Tinamiformes
37,Crypturellus cinnamomeus,Thicket Tinamou,thitin1,Tinamiformes
38,Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,Tinamiformes
39,Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,Tinamiformes
40,Crypturellus brevirostris,Rusty Tinamou,rustin1,Tinamiformes
41,Crypturellus bartletti,Bartlett's Tinamou,bartin2,Tinamiformes
42,Crypturellus parvirostris,Small-billed Tinamou,smbtin1,Tinamiformes
43,Crypturellus casiquiare,Barred Tinamou,bartin1,Tinamiformes
44,Crypturellus tataupa,Tataupa Tinamou,tattin1,Tinamiformes
45,Crypturellus sp.,Crypturellus sp.,cryptu1,Tinamiformes
46,Rhynchotus rufescens,Red-winged Tinamou,rewtin1,Tinamiformes
47,Rhynchotus maculicollis,Huayco Tinamou,huatin1,Tinamiformes
48,Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,Tinamiformes
49,Nothoprocta ornata,Ornate Tinamou,orntin1,Tinamiformes
50,Nothoprocta perdicaria,Chilean Tinamou,chitin1,Tinamiformes
51,Nothoprocta cinerascens,Brushland Tinamou,brutin1,Tinamiformes
52,Nothoprocta pentlandii,Andean Tinamou,andtin1,Tinamiformes
53,Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,Tinamiformes
54,Nothoprocta sp.,Nothoprocta sp.,nothop1,Tinamiformes
55,Nothura boraquira,White-bellied Nothura,whbnot1,Tinamiformes
56,Nothura minor,Lesser Nothura,lesnot1,Tinamiformes
57,Nothura darwinii,Darwin's Nothura,darnot1,Tinamiformes
58,Nothura maculosa,Spotted Nothura,sponot1,Tinamiformes
59,Nothura chacoensis,Chaco Nothura,chanot1,Tinamiformes
60,Taoniscus nanus,Dwarf Tinamou,dwatin1,Tinamiformes
61,Eudromia elegans,Elegant Crested-Tinamou,elctin1,Tinamiformes
62,Eudromia formosa,Quebracho Crested-Tinamou,quctin1,Tinamiformes
63,Tinamotis pentlandii,Puna Tinamou,puntin1,Tinamiformes
64,Tinamotis ingoufi,Patagonian Tinamou,pattin1,Tinamiformes
65,Tinamidae sp.,tinamou sp.,tinamo1,Tinamiformes
66,Casuarius casuarius,Southern Cassowary,soucas1,Casuariiformes
67,Casuarius bennetti,Dwarf Cassowary,dwacas1,Casuariiformes
68,Casuarius unappendiculatus,Northern Cassowary,norcas1,Casuariiformes
69,Dromaius novaehollandiae,Emu,emu1,Casuariiformes
70,Apteryx australis,Southern Brown Kiwi,sobkiw1,Apterygiformes
71,Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,Apterygiformes
72,Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,Apterygiformes
73,Apteryx rowi,Okarito Brown Kiwi,okbkiw1,Apterygiformes
74,Apteryx mantelli,North Island Brown Kiwi,nibkiw1,Apterygiformes
75,Apteryx owenii,Little Spotted Kiwi,liskiw1,Apterygiformes
76,Apteryx haastii,Great Spotted Kiwi,grskiw1,Apterygiformes
77,Anhima cornuta,Horned Screamer,horscr1,Anseriformes
78,Chauna torquata,Southern Screamer,souscr1,Anseriformes
79,Chauna chavaria,Northern Screamer,norscr1,Anseriformes
80,Anseranas semipalmata,Magpie Goose,maggoo1,Anseriformes
81,Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,Anseriformes
82,Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,Anseriformes
83,Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,Anseriformes
84,Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,Anseriformes
85,Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,Anseriformes
86,Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (fulgens),bkbwhd1,Anseriformes
87,Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (autumnalis),bkbwhd2,Anseriformes
88,Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,Anseriformes
89,Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775,Anseriformes
90,Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,Anseriformes
91,Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875,Anseriformes
92,Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,Anseriformes
93,Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,Anseriformes
94,Dendrocygna sp.,whistling-duck sp.,whistl1,Anseriformes
95,Thalassornis leuconotus,White-backed Duck,whbduc1,Anseriformes
96,Anser indicus,Bar-headed Goose,bahgoo,Anseriformes
97,Anser canagicus,Emperor Goose,empgoo,Anseriformes
98,Anser caerulescens,Snow Goose,snogoo,Anseriformes
99,Anser rossii,Ross's Goose,rosgoo,Anseriformes
100,Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,Anseriformes
101,Anser caerulescens/rossii,Snow/Ross's Goose,y00469,Anseriformes
102,Anser anser,Graylag Goose,gragoo,Anseriformes
103,Anser anser anser,Graylag Goose (European),gragoo2,Anseriformes
104,Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3,Anseriformes
105,Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1,Anseriformes
106,Anser cygnoides,Swan Goose,swagoo1,Anseriformes
107,Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2,Anseriformes
108,Anser anser x cygnoides (Domestic type),Graylag x Swan Goose (Domestic type) (hybrid),x00776,Anseriformes
109,Anser albifrons,Greater White-fronted Goose,gwfgoo,Anseriformes
110,Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4,Anseriformes
111,Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1,Anseriformes
112,Anser albifrons gambelli/frontalis,Greater White-fronted Goose (Western),gwfgoo2,Anseriformes
113,Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3,Anseriformes
114,Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755,Anseriformes
115,Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627,Anseriformes
116,Anser erythropus,Lesser White-fronted Goose,lwfgoo,Anseriformes
117,Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,y00707,Anseriformes
118,Anser fabalis,Taiga Bean-Goose,taibeg1,Anseriformes
119,Anser serrirostris,Tundra Bean-Goose,tunbeg1,Anseriformes
120,Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,y00468,Anseriformes
121,Anser brachyrhynchus,Pink-footed Goose,pifgoo,Anseriformes
122,Anser sp. (Domestic type),Domestic goose sp. (Domestic type),domgoo1,Anseriformes
123,Anser sp.,Anser sp.,anser1,Anseriformes
124,Branta bernicla,Brant,brant,Anseriformes
125,Branta bernicla bernicla,Brant (Dark-bellied),dabbra1,Anseriformes
126,Branta bernicla hrota,Brant (Atlantic),atlbra1,Anseriformes
127,Branta bernicla nigricans/orientalis,Brant (Black),blkbra1,Anseriformes
128,Branta bernicla (Gray-bellied),Brant (Gray-bellied),gybbra1,Anseriformes
129,Branta bernicla hrota x nigricans,Brant (Atlantic x Black),brant1,Anseriformes
130,Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),x00685,Anseriformes
131,Branta leucopsis,Barnacle Goose,bargoo,Anseriformes
132,Anser brachyrhynchus x Branta leucopsis,Pink-footed x Barnacle Goose (hybrid),x00756,Anseriformes
133,Anser albifrons x Branta leucopsis,Greater White-fronted x Barnacle Goose (hybrid),x00757,Anseriformes
134,Anser anser x Branta leucopsis,Graylag x Barnacle Goose (hybrid),x00649,Anseriformes
135,Branta hutchinsii,Cackling Goose,cacgoo1,Anseriformes
136,Branta hutchinsii leucopareia,Cackling Goose (Aleutian),alcgoo1,Anseriformes
137,Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),ricgoo1,Anseriformes
138,Branta hutchinsii minima,Cackling Goose (minima),cacgoo2,Anseriformes
139,Branta hutchinsii taverneri,Cackling Goose (Taverner's),tacgoo1,Anseriformes
140,Anser canagicus x Branta hutchinsii,Emperor x Cackling Goose (hybrid),x00831,Anseriformes
141,Anser caerulescens x Branta hutchinsii,Snow x Cackling Goose (hybrid),x00692,Anseriformes
142,Anser rossii x Branta hutchinsii,Ross's x Cackling Goose (hybrid),x00694,Anseriformes
143,Branta bernicla x hutchinsii,Brant x Cackling Goose (hybrid),x00722,Anseriformes
144,Anser albifrons x Branta hutchinsii,Greater White-fronted x Cackling Goose (hybrid),x00414,Anseriformes
145,Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),x00416,Anseriformes
146,Branta canadensis,Canada Goose,cangoo,Anseriformes
147,Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima),cangoo4,Anseriformes
148,Branta canadensis occidentalis/fulva,Canada Goose (occidentalis/fulva),cangoo3,Anseriformes
149,Branta canadensis [canadensis Group],Canada Goose (canadensis Group),cangoo1,Anseriformes
150,Anser cygnoides (Domestic type) x Branta canadensis,Swan Goose (Domestic type) x Canada Goose (hybrid),swagoo3,Anseriformes
151,Anser brachyrhynchus x Branta canadensis,Pink-footed x Canada Goose (hybrid),x00650,Anseriformes
152,Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),x00415,Anseriformes
153,Anser anser x Branta canadensis,Graylag x Canada Goose (hybrid),x00758,Anseriformes
154,Anser anser (Domestic type) x Branta canadensis,Graylag Goose (Domestic type) x Canada Goose (hybrid),gragoo4,Anseriformes
155,Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),x00759,Anseriformes
156,Anser caerulescens x Branta canadensis,Snow x Canada Goose (hybrid),x00197,Anseriformes
157,Anser rossii x Branta canadensis,Ross's x Canada Goose (hybrid),x00693,Anseriformes
158,Branta leucopsis x canadensis,Barnacle x Canada Goose (hybrid),x00417,Anseriformes
159,Branta hutchinsii/canadensis,Cackling/Canada Goose,y00470,Anseriformes
160,Anser caerulescens/rossii x Branta hutchinsii/canadensis,Snow/Ross's x Cackling/Canada Goose (hybrid),y00765,Anseriformes
161,Branta sandvicensis,Hawaiian Goose,hawgoo,Anseriformes
162,Branta ruficollis,Red-breasted Goose,rebgoo1,Anseriformes
163,Branta sp.,Branta sp.,branta1,Anseriformes
164,Anser/Branta sp.,goose sp.,goose1,Anseriformes
165,Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1,Anseriformes
166,Stictonetta naevosa,Freckled Duck,freduc1,Anseriformes
167,Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,Anseriformes
168,Cygnus olor,Mute Swan,mutswa,Anseriformes
169,Cygnus atratus,Black Swan,blkswa,Anseriformes
170,Cygnus melancoryphus,Black-necked Swan,blnswa2,Anseriformes
171,Cygnus buccinator,Trumpeter Swan,truswa,Anseriformes
172,Cygnus olor x buccinator,Mute x Trumpeter Swan (hybrid),x00832,Anseriformes
173,Cygnus columbianus,Tundra Swan,tunswa,Anseriformes
174,Cygnus columbianus columbianus,Tundra Swan (Whistling),tunswa1,Anseriformes
175,Cygnus columbianus bewickii,Tundra Swan (Bewick's),bewswa1,Anseriformes
176,Cygnus columbianus columbianus x bewickii,Tundra Swan (Whistling x Bewick's),tunswa2,Anseriformes
177,Cygnus buccinator x columbianus,Trumpeter x Tundra Swan (hybrid),x00418,Anseriformes
178,Cygnus buccinator/columbianus,Trumpeter/Tundra Swan,y00471,Anseriformes
179,Cygnus cygnus,Whooper Swan,whoswa,Anseriformes
180,Cygnus buccinator x cygnus,Trumpeter x Whooper Swan (hybrid),x00419,Anseriformes
181,Cygnus columbianus/cygnus,Tundra/Whooper Swan,y00708,Anseriformes
182,Cygnus sp.,swan sp.,swan1,Anseriformes
183,Coscoroba coscoroba,Coscoroba Swan,cosswa1,Anseriformes
184,Sarkidiornis melanotos,Comb Duck,comduc1,Anseriformes
185,Sarkidiornis melanotos melanotos,Comb Duck (Old World),comduc2,Anseriformes
186,Sarkidiornis melanotos sylvicola,Comb Duck (South American),comduc3,Anseriformes
187,Pteronetta hartlaubii,Hartlaub's Duck,harduc1,Anseriformes
188,Oressochen jubatus,Orinoco Goose,origoo1,Anseriformes
189,Oressochen melanopterus,Andean Goose,andgoo1,Anseriformes
190,Chloephaga picta,Upland Goose,uplgoo1,Anseriformes
191,Chloephaga picta (White-breasted),Upland Goose (White-breasted),uplgoo2,Anseriformes
192,Chloephaga picta (Bar-breasted),Upland Goose (Bar-breasted),uplgoo3,Anseriformes
193,Chloephaga hybrida,Kelp Goose,kelgoo1,Anseriformes
194,Chloephaga poliocephala,Ashy-headed Goose,ashgoo1,Anseriformes
195,Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1,Anseriformes
196,Chloephaga sp.,Chloephaga sp.,chloep1,Anseriformes
197,Alopochen aegyptiaca,Egyptian Goose,egygoo,Anseriformes
198,Tadorna ferruginea,Ruddy Shelduck,rudshe,Anseriformes
199,Tadorna cana,South African Shelduck,soashe1,Anseriformes
200,Tadorna tadornoides,Australian Shelduck,ausshe1,Anseriformes
201,Tadorna variegata,Paradise Shelduck,parshe1,Anseriformes
202,Tadorna tadorna,Common Shelduck,comshe,Anseriformes
203,Tadorna ferruginea x tadorna,Ruddy x Common Shelduck (hybrid),x00876,Anseriformes
204,Tadorna radjah,Radjah Shelduck,radshe1,Anseriformes
205,Tadorna cristata,Crested Shelduck,creshe1,Anseriformes
206,Plectropterus gambensis,Spur-winged Goose,spwgoo1,Anseriformes
207,Plectropterus gambensis gambensis,Spur-winged Goose (Northern),spwgoo2,Anseriformes
208,Plectropterus gambensis niger,Spur-winged Goose (Southern),spwgoo3,Anseriformes
209,Tachyeres patachonicus,Flying Steamer-Duck,flystd1,Anseriformes
210,Tachyeres pteneres,Flightless Steamer-Duck,flistd1,Anseriformes
211,Tachyeres brachypterus,Falkland Steamer-Duck,falstd1,Anseriformes
212,Tachyeres leucocephalus,White-headed Steamer-Duck,whhstd1,Anseriformes
213,Tachyeres sp.,steamer-duck sp.,steame1,Anseriformes
214,Lophonetta specularioides,Crested Duck,creduc1,Anseriformes
215,Speculanas specularis,Spectacled Duck,speduc2,Anseriformes
216,Cairina moschata,Muscovy Duck,musduc,Anseriformes
217,Cairina moschata (Established Feral),Muscovy Duck (Established Feral),musduc3,Anseriformes
218,Cairina moschata (Domestic type),Muscovy Duck (Domestic type),musduc2,Anseriformes
219,Nettapus pulchellus,Green Pygmy-Goose,grnpyg1,Anseriformes
220,Nettapus coromandelianus,Cotton Pygmy-Goose,copgoo1,Anseriformes
221,Nettapus auritus,African Pygmy-Goose,afrpyg1,Anseriformes
222,Callonetta leucophrys,Ringed Teal,rintea1,Anseriformes
223,Aix sponsa,Wood Duck,wooduc,Anseriformes
224,Aix galericulata,Mandarin Duck,manduc,Anseriformes
225,Aix sponsa x galericulata,Wood x Mandarin Duck (hybrid),x00833,Anseriformes
226,Chenonetta jubata,Maned Duck,manduc1,Anseriformes
227,Amazonetta brasiliensis,Brazilian Teal,bratea1,Anseriformes
228,Hymenolaimus malacorhynchos,Blue Duck,bluduc1,Anseriformes
229,Merganetta armata,Torrent Duck,torduc1,Anseriformes
230,Salvadorina waigiuensis,Salvadori's Teal,saltea1,Anseriformes
231,Sibirionetta formosa,Baikal Teal,baitea,Anseriformes
232,Spatula querquedula,Garganey,gargan,Anseriformes
233,Spatula hottentota,Hottentot Teal,hottea1,Anseriformes
234,Spatula versicolor,Silver Teal,siltea1,Anseriformes
235,Spatula puna,Puna Teal,puntea1,Anseriformes
236,Spatula discors,Blue-winged Teal,buwtea,Anseriformes
237,Spatula cyanoptera,Cinnamon Teal,cintea,Anseriformes
238,Spatula discors x cyanoptera,Blue-winged x Cinnamon Teal (hybrid),bwxtea1,Anseriformes
239,Spatula discors/cyanoptera,Blue-winged/Cinnamon Teal,y00314,Anseriformes
240,Spatula platalea,Red Shoveler,redsho1,Anseriformes
241,Spatula smithii,Cape Shoveler,capsho1,Anseriformes
242,Spatula rhynchotis,Australian Shoveler,aussho1,Anseriformes
243,Spatula clypeata,Northern Shoveler,norsho,Anseriformes
244,Spatula querquedula x clypeata,Garganey x Northern Shoveler (hybrid),x00836,Anseriformes
245,Spatula discors x clypeata,Blue-winged Teal x Northern Shoveler (hybrid),x00629,Anseriformes
246,Spatula cyanoptera x clypeata,Cinnamon Teal x Northern Shoveler (hybrid),x00630,Anseriformes
247,Mareca strepera,Gadwall,gadwal,Anseriformes
248,Mareca strepera strepera,Gadwall (Common),gadwal1,Anseriformes
249,Mareca strepera couesi,Gadwall (Coues's),gadwal2,Anseriformes
250,Spatula clypeata x Mareca strepera,Northern Shoveler x Gadwall (hybrid),x00457,Anseriformes
251,Mareca falcata,Falcated Duck,falduc,Anseriformes
252,Mareca penelope,Eurasian Wigeon,eurwig,Anseriformes
253,Mareca strepera x penelope,Gadwall x Eurasian Wigeon (hybrid),x00723,Anseriformes
254,Mareca americana,American Wigeon,amewig,Anseriformes
255,Aix sponsa x Mareca americana,Wood Duck x American Wigeon (hybrid),x00877,Anseriformes
256,Spatula clypeata x Mareca americana,Northern Shoveler x American Wigeon (hybrid),x00777,Anseriformes
257,Mareca strepera x americana,Gadwall x American Wigeon (hybrid),x00724,Anseriformes
258,Mareca penelope x americana,Eurasian x American Wigeon (hybrid),x00421,Anseriformes
259,Mareca penelope/americana,Eurasian/American Wigeon,y00670,Anseriformes
260,Mareca sibilatrix,Chiloe Wigeon,chiwig1,Anseriformes
261,Anas sparsa,African Black Duck,afbduc1,Anseriformes
262,Anas undulata,Yellow-billed Duck,yebduc1,Anseriformes
263,Anas melleri,Meller's Duck,melduc1,Anseriformes
264,Anas superciliosa,Pacific Black Duck,pabduc1,Anseriformes
265,Anas laysanensis,Laysan Duck,layduc,Anseriformes
266,Anas wyvilliana,Hawaiian Duck,hawduc,Anseriformes
267,Anas luzonica,Philippine Duck,phiduc1,Anseriformes
268,Anas poecilorhyncha,Indian Spot-billed Duck,isbduc1,Anseriformes
269,Anas zonorhyncha,Eastern Spot-billed Duck,spbduc,Anseriformes
270,Anas poecilorhyncha/zonorhyncha,Indian/Eastern Spot-billed Duck,y00830,Anseriformes
271,Anas platyrhynchos,Mallard,mallar,Anseriformes
272,Anas platyrhynchos platyrhynchos/conboschas,Mallard (Northern),mallar3,Anseriformes
273,Anas platyrhynchos diazi,Mallard (Mexican),mexduc,Anseriformes
274,Anas platyrhynchos platyrhynchos x diazi,Mallard (Mexican intergrade),mallar4,Anseriformes
275,Anas platyrhynchos (Domestic type),Mallard (Domestic type),mallar2,Anseriformes
276,Cairina moschata x Anas platyrhynchos,Muscovy Duck x Mallard (hybrid),mdxmal1,Anseriformes
277,Aix sponsa x Anas platyrhynchos,Wood Duck x Mallard (hybrid),x00205,Anseriformes
278,Spatula clypeata x Anas platyrhynchos,Northern Shoveler x Mallard (hybrid),x00612,Anseriformes
279,Mareca strepera x Anas platyrhynchos,Gadwall x Mallard (hybrid),x00420,Anseriformes
280,Mareca penelope x Anas platyrhynchos,Eurasian Wigeon x Mallard (hybrid),x00647,Anseriformes
281,Mareca americana x Anas platyrhynchos,American Wigeon x Mallard (hybrid),x00611,Anseriformes
282,Anas undulata x platyrhynchos,Yellow-billed Duck x Mallard (hybrid),x00760,Anseriformes
283,Anas platyrhynchos x superciliosa,Mallard x Pacific Black Duck (hybrid),x00458,Anseriformes
284,Anas platyrhynchos x poecilorhyncha,Mallard x Indian Spot-billed Duck (hybrid),x00834,Anseriformes
285,Anas platyrhynchos x zonorhyncha,Mallard x Eastern Spot-billed Duck (hybrid),x00835,Anseriformes
286,Anas platyrhynchos x wyvilliana,Mallard x Hawaiian Duck (hybrid),x00423,Anseriformes
287,Anas rubripes,American Black Duck,ambduc,Anseriformes
288,Anas platyrhynchos x rubripes,Mallard x American Black Duck (hybrid),x00004,Anseriformes
289,Anas platyrhynchos/rubripes,Mallard/American Black Duck,y00600,Anseriformes
290,Anas fulvigula,Mottled Duck,motduc,Anseriformes
291,Anas fulvigula fulvigula,Mottled Duck (Florida),motduc1,Anseriformes
292,Anas fulvigula maculosa,Mottled Duck (Gulf Coast),motduc2,Anseriformes
293,Anas platyrhynchos x fulvigula,Mallard x Mottled Duck (hybrid),x00422,Anseriformes
294,Anas platyrhynchos/fulvigula,Mallard/Mottled Duck,y00632,Anseriformes
295,Anas rubripes/fulvigula,American Black/Mottled Duck,y00633,Anseriformes
296,Anas capensis,Cape Teal,captea1,Anseriformes
297,Anas bahamensis,White-cheeked Pintail,whcpin,Anseriformes
298,Anas bahamensis bahamensis/rubrirostris,White-cheeked Pintail (White-cheeked),whcpin1,Anseriformes
299,Anas bahamensis galapagensis,White-cheeked Pintail (Galapagos),whcpin2,Anseriformes
300,Anas platyrhynchos x bahamensis,Mallard x White-cheeked Pintail (hybrid),x00778,Anseriformes
301,Anas erythrorhyncha,Red-billed Duck,rebduc1,Anseriformes
302,Anas acuta,Northern Pintail,norpin,Anseriformes
303,Sibirionetta formosa x Anas acuta,Baikal Teal x Northern Pintail (hybrid),x00837,Anseriformes
304,Mareca strepera x Anas acuta,Gadwall x Northern Pintail (hybrid),x00610,Anseriformes
305,Mareca penelope x Anas acuta,Eurasian Wigeon x Northern Pintail (hybrid),x00761,Anseriformes
306,Mareca americana x Anas acuta,American Wigeon x Northern Pintail (hybrid),x00196,Anseriformes
307,Anas platyrhynchos x acuta,Mallard x Northern Pintail (hybrid),x00628,Anseriformes
308,Anas rubripes x acuta,American Black Duck x Northern Pintail (hybrid),x00674,Anseriformes
309,Anas eatoni,Eaton's Pintail,eatpin1,Anseriformes
310,Anas georgica,Yellow-billed Pintail,yebpin1,Anseriformes
311,Anas georgica georgica,Yellow-billed Pintail (South Georgia),yebpin2,Anseriformes
312,Anas georgica spinicauda/niceforoi,Yellow-billed Pintail (South American),yebpin3,Anseriformes
313,Anas crecca,Green-winged Teal,gnwtea,Anseriformes
314,Anas crecca crecca/nimia,Green-winged Teal (Eurasian),egwtea1,Anseriformes
315,Anas crecca carolinensis,Green-winged Teal (American),agwtea1,Anseriformes
316,Anas crecca crecca/nimia x carolinensis,Green-winged Teal (intergrade),gnwtea1,Anseriformes
317,Spatula querquedula/Anas crecca,Garganey/Green-winged Teal,y00766,Anseriformes
318,Spatula discors x Anas crecca,Blue-winged x Green-winged Teal (hybrid),x00673,Anseriformes
319,Spatula cyanoptera x Anas crecca,Cinnamon x Green-winged Teal (hybrid),x00763,Anseriformes
320,Mareca strepera x Anas crecca,Gadwall x Green-winged Teal (hybrid),x00762,Anseriformes
321,Mareca americana x Anas crecca,American Wigeon x Green-winged Teal (hybrid),x00646,Anseriformes
322,Anas platyrhynchos x crecca,Mallard x Green-winged Teal (hybrid),x00670,Anseriformes
323,Anas acuta x crecca,Northern Pintail x Green-winged Teal (hybrid),x00725,Anseriformes
324,Anas andium,Andean Teal,spetea3,Anseriformes
325,Anas andium altipetens,Andean Teal (Merida),andtea2,Anseriformes
326,Anas andium andium,Andean Teal (Andean),andtea3,Anseriformes
327,Anas flavirostris,Yellow-billed Teal,yebtea1,Anseriformes
328,Anas flavirostris flavirostris,Yellow-billed Teal (flavirostris),spetea2,Anseriformes
329,Anas flavirostris oxyptera,Yellow-billed Teal (oxyptera),spetea4,Anseriformes
330,Anas andium/flavirostris,Andean/Yellow-billed Teal,spetea1,Anseriformes
331,Anas albogularis,Andaman Teal,andtea1,Anseriformes
332,Anas gibberifrons,Sunda Teal,suntea1,Anseriformes
333,Anas gracilis,Gray Teal,gretea1,Anseriformes
334,Anas castanea,Chestnut Teal,chetea1,Anseriformes
335,Anas bernieri,Bernier's Teal,bertea1,Anseriformes
336,Anas aucklandica,Auckland Islands Teal,auitea1,Anseriformes
337,Anas nesiotis,Campbell Islands Teal,caitea1,Anseriformes
338,Anas chlorotis,Brown Teal,brotea1,Anseriformes
339,Anas platyrhynchos x chlorotis,Mallard x Brown Teal (hybrid),x00878,Anseriformes
340,Anas sp. (teal sp.),teal sp.,teal,Anseriformes
341,Anas sp.,dabbling duck sp.,dabduc1,Anseriformes
342,Malacorhynchus membranaceus,Pink-eared Duck,pieduc1,Anseriformes
343,Marmaronetta angustirostris,Marbled Teal,martea1,Anseriformes
344,Rhodonessa caryophyllacea,Pink-headed Duck,pihduc1,Anseriformes
345,Asarcornis scutulata,White-winged Duck,whwduc1,Anseriformes
346,Netta rufina,Red-crested Pochard,recpoc,Anseriformes
347,Anas platyrhynchos x Netta rufina,Mallard x Red-crested Pochard (hybrid),x00648,Anseriformes
348,Netta erythrophthalma,Southern Pochard,soupoc1,Anseriformes
349,Netta peposaca,Rosy-billed Pochard,robpoc1,Anseriformes
350,Aythya valisineria,Canvasback,canvas,Anseriformes
351,Aythya americana,Redhead,redhea,Anseriformes
